

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/1        1       trnk-bndl     Po10
Eth1/2        1       trnk-bndl     Po10
Eth1/3        1       trnk-bndl     Po10
Eth1/4        1       trnk-bndl     Po10
Eth1/5        1       trnk-bndl     Po10
Eth1/6        1       trnk-bndl     Po10
Eth1/7        1       trnk-bndl     Po10
Eth1/8        1       trnk-bndl     Po10
Eth1/9        1       trnk-bndl     Po4000
Eth1/10       1       trnk-bndl     Po4000
Eth1/11       1       trnk-bndl     Po4000
Eth1/12       1       trnk-bndl     Po4000
Eth1/13       1       trnk-bndl     Po4001
Eth1/14       1       trnk-bndl     Po4001
Eth1/17       609     trnk-bndl     Po601
Eth1/18       609     trnk-bndl     Po701
Eth1/19       609     trnk-bndl     Po603
Eth1/20       609     trnk-bndl     Po703
Eth1/21       609     trnk-bndl     Po605
Eth1/22       609     trnk-bndl     Po705
Eth1/23       609     trnk-bndl     Po607
Eth1/24       609     trnk-bndl     Po707
Eth1/25       609     trnk-bndl     Po609
Eth1/26       609     trnk-bndl     Po709
Eth1/27       609     trnk-bndl     Po611
Eth1/28       609     trnk-bndl     Po711
Eth1/29       609     trnk-bndl     Po613
Eth1/30       609     trnk-bndl     Po713
Eth1/31       609     trnk-bndl     Po615
Eth1/32       609     trnk-bndl     Po715
Eth1/33       609     trnk-bndl     Po617
Eth1/34       609     trnk-bndl     Po717
Eth1/35       609     trnk-bndl     Po619
Eth1/36       609     trnk-bndl     Po719
Eth1/37       609     trnk-bndl     Po621
Eth1/38       609     trnk-bndl     Po721
Eth1/39       609     trnk-bndl     Po623
Eth1/40       1       trnk-bndl     Po723
Eth1/41       609     trnk-bndl     Po625
Eth1/42       1       trnk-bndl     Po725
Eth1/43       609     trnk-bndl     Po627
Eth1/44       1       trnk-bndl     Po727
Eth1/45       609     trnk-bndl     Po637
Eth1/46       609     trnk-bndl     Po737
Eth1/47       609     trnk-bndl     Po636
Eth1/48       609     trnk-bndl     Po736
Eth2/1        609     trnk-bndl     Po635
Eth2/2        609     trnk-bndl     Po735
Eth2/3        609     trnk-bndl     Po604
Eth2/4        609     trnk-bndl     Po704
Eth2/5        609     trnk-bndl     Po606
Eth2/6        609     trnk-bndl     Po706
Eth2/7        609     trnk-bndl     Po608
Eth2/8        609     trnk-bndl     Po708
Eth2/9        609     trnk-bndl     Po610
Eth2/10       609     trnk-bndl     Po710
Eth2/11       609     trnk-bndl     Po612
Eth2/12       609     trnk-bndl     Po712
Eth2/13       609     trnk-bndl     Po614
Eth2/14       609     trnk-bndl     Po714
Eth2/15       609     trnk-bndl     Po616
Eth2/16       609     trnk-bndl     Po716
Eth3/1        609     trnk-bndl     Po618
Eth3/2        609     trnk-bndl     Po718
Eth3/3        609     trnk-bndl     Po620
Eth3/4        609     trnk-bndl     Po720
Eth3/5        609     trnk-bndl     Po622
Eth3/6        609     trnk-bndl     Po722
Eth3/7        609     trnk-bndl     Po624
Eth3/8        1       trnk-bndl     Po724
Eth3/9        609     trnk-bndl     Po626
Eth3/10       1       trnk-bndl     Po726
Eth3/11       609     trnk-bndl     Po628
Eth3/12       1       trnk-bndl     Po728
Eth3/13       609     trnk-bndl     Po638
Eth3/14       609     trnk-bndl     Po738
Eth3/15       609     trnk-bndl     Po639
Eth3/16       609     trnk-bndl     Po739
Eth4/1        609     trnk-bndl     Po632
Eth4/2        609     trnk-bndl     Po732
Eth4/3        609     trnk-bndl     Po634
Eth4/4        609     trnk-bndl     Po734
Eth4/5        609     trnk-bndl     Po630
Eth4/6        609     trnk-bndl     Po730
Eth4/9        609     trnk-bndl     Po631
Eth4/10       609     trnk-bndl     Po731
Eth4/11       609     trnk-bndl     Po633
Eth4/12       609     trnk-bndl     Po733
Eth4/15       609     trnk-bndl     Po629
Eth4/16       609     trnk-bndl     Po729
Po10          1       trunking      --
Po601         609     trunking      --
Po602         609     trunking      --
Po603         609     trunking      --
Po604         609     trunking      --
Po605         609     trunking      --
Po606         609     trunking      --
Po607         609     trunking      --
Po608         609     trunking      --
