

CPU utilization for five seconds: 38%/5%; one minute: 25%; five minutes: 19%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1        12140    371227      0   0.00%   0.00%  0.00%   -    init
    2           10      1145      0   0.00%   0.00%  0.00%   -    kthreadd
    3         1440    135547      0   0.00%   0.00%  0.00%   -    migration/0
    4      2599320  25610256      0   0.00%   0.02%  0.02%   -    ksoftirqd/0
    5            0         2      0   0.00%   0.00%  0.00%   -    watchdog/0
    6         2710    186803      0   0.00%   0.00%  0.00%   -    migration/1
    7      3552760   8832607      0   0.00%   0.00%  0.01%   -    ksoftirqd/1
    8            0         5      0   0.00%   0.00%  0.00%   -    watchdog/1
    9         1610    136766      0   0.00%   0.00%  0.00%   -    migration/2
   10      1378800  18469944      0   0.01%   0.01%  0.00%   -    ksoftirqd/2
   11            0         3      0   0.00%   0.00%  0.00%   -    watchdog/2
   12         2640    187280      0   0.00%   0.00%  0.00%   -    migration/3
   13      4376450  10761564      0   0.00%   0.02%  0.03%   -    ksoftirqd/3
   14            0         4      0   0.00%   0.00%  0.00%   -    watchdog/3
   15        17200    653484      0   0.00%   0.00%  0.00%   -    migration/4
   16      4305660   6961120      0   0.00%   0.02%  0.02%   -    ksoftirqd/4
   17            0         6      0   0.00%   0.00%  0.00%   -    watchdog/4
   18        18860    796932      0   0.00%   0.00%  0.00%   -    migration/5
   19      3166070  10110685      0   0.00%   0.01%  0.02%   -    ksoftirqd/5
   20            0        20      0   0.00%   0.00%  0.00%   -    watchdog/5
   21        16620    645662      0   0.00%   0.00%  0.00%   -    migration/6
   22      1384700   7500264      0   0.15%   0.02%  0.01%   -    ksoftirqd/6
   23            0         4      0   0.00%   0.00%  0.00%   -    watchdog/6
   24        18820    792653      0   0.00%   0.00%  0.00%   -    migration/7
   25      3016790  21628023      0   0.00%   0.02%  0.02%   -    ksoftirqd/7
   26            0        19      0   0.00%   0.00%  0.00%   -    watchdog/7
   27        20260   1833989      0   0.01%   0.00%  0.00%   -    events/0
   28        13000   2690959      0   0.00%   0.00%  0.00%   -    events/1
   29         8720   1803780      0   0.00%   0.00%  0.00%   -    events/2
   30         8670   1803519      0   0.00%   0.00%  0.00%   -    events/3
   31        72960   2771361      0   0.00%   0.00%  0.00%   -    events/4
   32       125650   3541682      0   0.00%   0.00%  0.00%   -    events/5
   33         8990   1805596      0   0.00%   0.00%  0.00%   -    events/6
   34         8530   1881834      0   0.00%   0.00%  0.00%   -    events/7
   35           10        24      0   0.00%   0.00%  0.00%   -    khelper
   36          180        26      6   0.00%   0.00%  0.00%   -    netns
   37           60      1311      0   0.00%   0.00%  0.00%   -    kblockd/0
   38           80      1752      0   0.00%   0.00%  0.00%   -    kblockd/1
   39           70      1386      0   0.00%   0.00%  0.00%   -    kblockd/2
   40           40      2584      0   0.00%   0.00%  0.00%   -    kblockd/3
   41           60      1121      0   0.00%   0.00%  0.00%   -    kblockd/4
   42          140      2878      0   0.00%   0.00%  0.00%   -    kblockd/5
   43           80      1657      0   0.00%   0.00%  0.00%   -    kblockd/6
   44           90      7882      0   0.00%   0.00%  0.00%   -    kblockd/7
   45            0         2      0   0.00%   0.00%  0.00%   -    kacpid
   46            0         2      0   0.00%   0.00%  0.00%   -    kacpi_notify
   47            0         2      0   0.00%   0.00%  0.00%   -    kseriod
   48            0         2      0   0.00%   0.00%  0.00%   -    ksuspend_usbd
   49           10       217      0   0.00%   0.00%  0.00%   -    khubd
   50            0        11      0   0.00%   0.00%  0.00%   -    pdflush
   51         5810    414862      0   0.00%   0.00%  0.00%   -    pdflush
   52            0         2      0   0.00%   0.00%  0.00%   -    kswapd0
   53            0         2      0   0.00%   0.00%  0.00%   -    aio/0
   54            0         2      0   0.00%   0.00%  0.00%   -    aio/1
   55            0         2      0   0.00%   0.00%  0.00%   -    aio/2
   56            0         2      0   0.00%   0.00%  0.00%   -    aio/3
   57            0         2      0   0.00%   0.00%  0.00%   -    aio/4
   58            0         2      0   0.00%   0.00%  0.00%   -    aio/5
   59            0         2      0   0.00%   0.00%  0.00%   -    aio/6
   60            0         2      0   0.00%   0.00%  0.00%   -    aio/7
   61            0         2      0   0.00%   0.00%  0.00%   -    nfsiod
   62            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_0
   63         9920   2055454      0   0.00%   0.00%  0.00%   -    usb-storage
   65            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_1
   66        10410   2020160      0   0.00%   0.00%  0.00%   -    usb-storage
   68            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_2
   69         2430    463724      0   0.00%   0.00%  0.00%   -    usb-storage
   71            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_3
   72         2590    484092      0   0.00%   0.00%  0.00%   -    usb-storage
   74            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_4
   75           10       546      0   0.00%   0.00%  0.00%   -    usb-storage
   77            0         2      0   0.00%   0.00%  0.00%   -    kstriped
   78            0         2      0   0.00%   0.00%  0.00%   -    rpciod/0
   79            0         2      0   0.00%   0.00%  0.00%   -    rpciod/1
   80            0         3      0   0.00%   0.00%  0.00%   -    rpciod/2
   81            0         2      0   0.00%   0.00%  0.00%   -    rpciod/3
   82            0         2      0   0.00%   0.00%  0.00%   -    rpciod/4
   83            0         2      0   0.00%   0.00%  0.00%   -    rpciod/5
   84            0        17      0   0.00%   0.00%  0.00%   -    rpciod/6
   85            0         2      0   0.00%   0.00%  0.00%   -    rpciod/7
  646          320       880      0   0.11%   0.00%  0.00%   -    dcos_sshd
  647          310       886      0   0.09%   0.00%  0.00%   -    dcos_sshd
  648          370      1473      0   0.19%   0.01%  0.00%   -    dcos_sshd
  661          270       287      0   0.05%   0.00%  0.00%   5    vsh
  662          260       265      0   0.05%   0.00%  0.00%   6    vsh
  674          310       294      1   0.09%   0.00%  0.00%   7    vsh
 1144          400       835      0   0.00%   0.00%  0.00%   6    vsh
 2008           10         1     10   0.00%   0.00%  0.00%   -    raid_monitor
 2057         2120    190372      0   0.00%   0.00%  0.00%   -    md3_raid1
 2062         6970    347550      0   0.00%   0.00%  0.00%   -    md4_raid1
 2067         1980    117744      0   0.00%   0.00%  0.00%   -    md5_raid1
 2072         1970    119283      0   0.00%   0.00%  0.00%   -    md6_raid1
 2128         4200    124042      0   0.00%   0.00%  0.00%   -    kjournald
 2133         2210     60394      0   0.00%   0.00%  0.00%   -    kjournald
 2252         2400    101635      0   0.00%   0.00%  0.00%   -    kjournald
 2257         2460     98467      0   0.00%   0.00%  0.00%   -    kjournald
 2639         2570     97236      0   0.00%   0.00%  0.00%   -    kjournald
 2763            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 4492         6150    245915      0   0.00%   0.00%  0.00%   -    kjournald
 4735            0        27      0   0.00%   0.00%  0.00%   -    portmap
 4757            0         2      0   0.00%   0.00%  0.00%   -    lockd
 4758           50       504      0   0.00%   0.00%  0.00%   -    nfsd
 4759           10       504      0   0.00%   0.00%  0.00%   -    nfsd
 4760           20       504      0   0.00%   0.00%  0.00%   -    nfsd
 4761           10       504      0   0.00%   0.00%  0.00%   -    nfsd
 4762           50       504      0   0.00%   0.00%  0.00%   -    nfsd
 4763           10       505      0   0.00%   0.00%  0.00%   -    nfsd
 4764           10       506      0   0.00%   0.00%  0.00%   -    nfsd
 4765           80       503      0   0.00%   0.00%  0.00%   -    nfsd
 4770            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 4790      4400230  72425682      0   0.21%   0.03%  0.02%   -    sysmgr
 5149            0         1      0   0.00%   0.00%  0.00%   -    mping-thread
 5254         4330     60160      0   0.00%   0.00%  0.00%   -    redun_kthread
 5583            0        11      0   0.00%   0.00%  0.00%   -    usd_mts_kthread
 5620         6470    902344      0   0.00%   0.00%  0.00%   -    ls-notify-mts-t
 5640           20        20      1   0.00%   0.00%  0.00%   -    inband_kthread
 5732            0         4      0   0.00%   0.00%  0.00%   -    mts-sync-thrc
 5733     16359360  901195826      0   0.25%   0.12%  0.11%   -    mts-sync-thr
 5820         6220     61333      0   0.00%   0.00%  0.00%   -    cisco
 5856           10       515      0   0.00%   0.00%  0.00%   -    dhcpd
 6337       389140   9413538      0   0.01%   0.00%  0.00%   -    ntpd
 6383         5210    161758      0   0.00%   0.00%  0.00%   -    kjournald
 6618      4152800  17979172      0   0.03%   0.02%  0.02%   -    sctpt_rx_thr
 6619      1133660   8902612      0   0.00%   0.00%  0.00%   -    sctpt_tx_thr
 6967        20050   1803298      0   0.00%   0.00%  0.00%   -    wdpunch_thread
 7154           10         2      5   0.00%   0.00%  0.00%   -    sh
 7157           10        62      0   0.00%   0.00%  0.00%   -    libvirtd
 7704            0         2      0   0.00%   0.00%  0.00%   -    kauditd
 8609        37090   1918621      0   0.00%   0.00%  0.00%   -    syslogd
 8613          200       297      0   0.00%   0.00%  0.00%   -    confcheck
 8614        37560    725758      0   0.01%   0.00%  0.00%   -    feature-mgr
 8615         9550    515360      0   0.00%   0.00%  0.00%   -    pixm_vl
 8616        22210   1809002      0   0.00%   0.00%  0.00%   -    psshelper
 8617         8720    511874      0   0.00%   0.00%  0.00%   -    session-mgr
 8618         3250     69080      0   0.00%   0.00%  0.00%   -    smm
 8619         5300    232740      0   0.00%   0.00%  0.00%   -    vshd
 8623        29210    143681      0   0.00%   0.00%  0.00%   -    clis
 8625         2010     80702      0   0.00%   0.00%  0.00%   -    port-profile
 8630        23220   1862862      0   0.00%   0.00%  0.00%   -    aaa
 8631        22230   1808775      0   0.00%   0.00%  0.00%   -    cert_enroll
 8632        30710   1810644      0   0.00%   0.00%  0.00%   -    securityd
 8633         5150    227134      0   0.00%   0.00%  0.00%   -    ascii-cfg
 8634         8420    513869      0   0.00%   0.00%  0.00%   -    cli_acl
 8635         2310    115707      0   0.00%   0.00%  0.00%   -    evmc
 8637         2850    156160      0   0.00%   0.00%  0.00%   -    evms
 8638           40        27      1   0.00%   0.00%  0.00%   -    mping_server
 8639         2960    156246      0   0.00%   0.00%  0.00%   -    mvsh
 8641        21570   1808699      0   0.00%   0.00%  0.00%   -    sksd
 8642        31230    643453      0   0.25%   0.07%  0.01%   -    snmpmib_proc
 8643       281530   2664350      0   0.00%   0.00%  0.00%   -    statsprofiler
 8644         8320    227884      0   0.00%   0.00%  0.00%   -    vman
 8645         8690    514037      0   0.00%   0.00%  0.00%   -    vmm
 8646        10350    603897      0   0.00%   0.00%  0.00%   -    xmlma
 8647         3480     70089      0   0.00%   0.00%  0.00%   -    l3vm
 8648        85950   1980330      0   0.00%   0.00%  0.00%   -    urib
 8653        52310    565123      0   0.00%   0.00%  0.00%   -    aclmgr
 8661       329380  27488981      0   0.00%   0.00%  0.00%   -    adjmgr
 8662        17640    392935      0   0.00%   0.00%  0.00%   -    u6rib
 8697        29110    341323      0   0.00%   0.00%  0.00%   -    npacl
 8700    119676230  393551635      0   0.83%   0.86%  0.83%   -    arp
 8701        14350    405625      0   0.00%   0.00%  0.00%   -    icmpv6
 8705    186848750  2310319934      0   1.24%   1.34%  1.29%   -    pktmgr
 8730     28364630  223937970      0   0.40%   0.24%  0.21%   -    netstack
 8745        45200   1815162      0   0.00%   0.00%  0.00%   -    radius
 8746       143810   1530289      0   0.00%   0.00%  0.00%   -    cdp
 8747        13030    558737      0   0.00%   0.00%  0.00%   -    cfs
 8750           40        27      1   0.00%   0.00%  0.00%   -    ip_dummy
 8751           50        24      2   0.00%   0.00%  0.00%   -    ipv6_dummy
 8752         6420    105515      0   0.00%   0.00%  0.00%   -    ntp
 8753         9080    514541      0   0.00%   0.00%  0.00%   -    otm
 8754      5502200  45802344      0   4.02%   1.31%  0.33%   -    snmpd
 8755           40        19      2   0.00%   0.00%  0.00%   -    tcpudp_dummy
 8792          310      1196      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 8793        31580   1809612      0   0.00%   0.00%  0.00%   -    callhome
 8794       105630   2051891      0   0.01%   0.00%  0.00%   -    tacacs
 8795         5580    369041      0   0.00%   0.00%  0.00%   -    fscm
 8798        73960   3165918      0   0.00%   0.00%  0.00%   -    ntpd
 8814        52120    872033      0   0.00%   0.00%  0.00%   -    spm
 8815        66660   1492918      0   0.00%   0.00%  0.00%   -    rpm
 8816         8620    513401      0   0.00%   0.00%  0.00%   -    plsm
 8817       260970   2688680      0   0.00%   0.00%  0.00%   -    pfstat
 8819        10840    529477      0   0.00%   0.00%  0.00%   -    lim
 8820      1180950  16718024      0   0.00%   0.00%  0.00%   -    igmp
 8821         3470    160564      0   0.00%   0.00%  0.00%   -    eltm
 8822         3160     81307      0   0.00%   0.00%  0.00%   -    acllog
 8826        91680   1450819      0   0.00%   0.00%  0.00%   -    monitor
 8829         9690    512491      0   0.00%   0.00%  0.00%   -    iscm
 8836        11290    273578      0   0.00%   0.00%  0.00%   -    eth_port_channel
 8837        22900    373567      0   0.00%   0.00%  0.00%   -    vlan_mgr
 8843        23200    462428      0   0.00%   0.00%  0.00%   -    eth_dstats
 8844       544200   2014315      0   0.03%   0.00%  0.00%   -    ipqosmgr
 8845       312000   1541374      0   0.00%   0.00%  0.00%   -    lacp
 8846      1326180   5921187      0   0.09%   0.01%  0.00%   -    ethpm
 8847      1747560  11620291      0   0.00%   0.01%  0.01%   -    l2fm
 8848        26050    284350      0   0.00%   0.00%  0.00%   -    aclqos
 8849      9590470  57622052      0   0.05%   0.05%  0.05%   -    stp
 8853         2430    116015      0   0.00%   0.00%  0.00%   -    vpc
 8854        44270    947889      0   0.01%   0.00%  0.00%   -    ufdm
 8855      1979990   4865254      0   0.01%   0.01%  0.01%   -    udld
 8856         4120    241090      0   0.00%   0.00%  0.00%   -    u2
 8857       624410   3766789      0   0.11%   0.01%  0.00%   -    tunnel
 8858         9000    513846      0   0.00%   0.00%  0.00%   -    sal
 8859       919520   4421084      0   0.00%   0.00%  0.00%   -    orib
 8860       261420    443160      0   0.00%   0.00%  0.00%   -    oim
 8861       186180   4756422      0   0.00%   0.00%  0.00%   -    mrib
 8862       275710   2164723      0   0.00%   0.00%  0.00%   -    mfdm
 8863         9140    511976      0   0.00%   0.00%  0.00%   -    mcm
 8864       259730   6402420      0   0.00%   0.00%  0.00%   -    m6rib
 8865       549250   2726332      0   0.00%   0.00%  0.00%   -    l2pt
 8866        12290    507359      0   0.00%   0.00%  0.00%   -    bfd_app
 8867         9230    512382      0   0.00%   0.00%  0.00%   -    bfd
 8868     95226740  19274452      4   0.01%   0.65%  0.65%   -    isis_otv
 8870    220727600  1400469087      0   1.21%   1.62%  1.58%   -    otv
 8872        50680    871094      0   0.01%   0.00%  0.00%   -    dhcp_snoop
 8880       131980   3469156      0   0.00%   0.00%  0.00%   -    mcastfwd
 8888         7560    134659      0   0.00%   0.00%  0.00%   -    m2rib
 8905        32400    593984      0   0.01%   0.00%  0.00%   -    interface-vlan
 9782           10        15      0   0.00%   0.00%  0.00%   -    klogd
 9868        69710   3186554      0   0.00%   0.00%  0.00%   -    ntpd
17126           10        18      0   0.00%   0.00%  0.00%   S0    getty
30238        15020    794706      0   0.00%   0.00%  0.00%   1    vsh
30239        14750    794774      0   0.00%   0.00%  0.00%   2    vsh
30240        14840    794481      0   0.00%   0.00%  0.00%   3    vsh
30241        14930    794374      0   0.00%   0.00%  0.00%   4    vsh
