

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 11
Address         Age       MAC Address     Interface
10.76.64.1      00:14:28  0000.0c9f.f000  Vlan608         
10.76.64.2      00:02:42  d867.d96f.05c1  Vlan608         
10.76.64.3      00:03:23  d867.d970.84c1  Vlan608         
10.76.64.126    00:00:13  a036.9ff5.4e4c  Vlan608         
10.76.64.134    00:12:22  00e0.4b5f.09ff  Vlan608         
10.76.64.135    00:12:11  00e0.4b5e.ca04  Vlan608         
10.76.64.136    00:12:24  00e0.4b5f.2be1  Vlan608         
10.76.66.32     00:10:19  0010.e047.3808  Vlan608         
10.76.66.71     00:10:10  00e0.4b47.d624  Vlan608         
10.76.66.72     00:12:13  00e0.4b47.d7ac  Vlan608         
10.76.68.45     00:09:28  b008.7528.5d79  Vlan608         
