
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID            Local Intf      Hold-time  Capability  Port ID  
sw-pr1-data-1.vtb24.rumgmt0           120        B           Eth103/1/19       
sw-pr1-data-1.vtb24.ruEth1/1          120        BR          Eth1/25           
sw-pr1-data-1.vtb24.ruEth1/2          120        BR          Eth2/25           
sw-pr1-data-2.vtb24.ruEth1/5          120        BR          Eth1/25           
sw-pr1-data-2.vtb24.ruEth1/6          120        BR          Eth2/25           
ntnx-dso-62          Eth1/8          120        B           eth3              
sw-pr1-data-6.vtb24.ruEth1/9          120        B           Eth1/9            
sw-pr1-data-6.vtb24.ruEth1/10         120        B           Eth1/10           
ntnx-dso-19          Eth1/13         120        B           eth3              
ntnx-dso-19          Eth1/14         120        B           eth4              
ntnx-dso-18          Eth1/15         120        B           eth3              
ntnx-dso-18          Eth1/16         120        B           eth4              
ntnx-dso-20          Eth1/17         120        B           eth3              
ntnx-dso-20          Eth1/18         120        B           eth4              
ntnx-dso-21          Eth1/19         120        B           eth3              
ntnx-dso-21          Eth1/20         120        B           eth4              
ntnx-dso-22          Eth1/21         120        B           eth3              
ntnx-dso-22          Eth1/22         120        B           eth4              
ntnx-dso-23          Eth1/23         120        B           eth3              
ntnx-dso-23          Eth1/24         120        B           eth4              
ntnx-dso-24          Eth1/25         120        B           eth3              
ntnx-dso-24          Eth1/26         120        B           eth4              
ntnx-dso-25          Eth1/27         120        B           eth3              
ntnx-dso-25          Eth1/28         120        B           eth4              
ntnx-dso-26          Eth1/29         120        B           eth3              
ntnx-dso-26          Eth1/30         120        B           eth4              
ntnx-dso-27          Eth1/31         120        B           eth3              
ntnx-dso-27          Eth1/32         120        B           eth4              
ntnx-dso-28          Eth1/33         120        B           eth3              
ntnx-dso-28          Eth1/34         120        B           eth4              
ntnx-dso-29          Eth1/35         120        B           eth3              
ntnx-dso-29          Eth1/36         120        B           eth4              
ntnx-dso-30          Eth1/37         120        B           eth3              
ntnx-dso-30          Eth1/38         120        B           eth4              
ntnx-dso-31          Eth1/39         120        B           eth3              
ntnx-dso-31          Eth1/40         120        B           eth4              
ntnx-dso-32          Eth1/41         120        B           eth3              
ntnx-dso-32          Eth1/42         120        B           eth4              
ntnx-dso-33          Eth1/43         120        B           eth3              
ntnx-dso-33          Eth1/44         120        B           eth4              
ntnx-dso-34          Eth1/45         120        B           eth3              
ntnx-dso-34          Eth1/46         120        B           eth4              
ntnx-dso-35          Eth1/47         120        B           eth3              
ntnx-dso-35          Eth1/48         120        B           eth4              
sw-pr1-data-6.vtb24.ruEth1/51         120        B           Eth1/51           
sw-pr1-data-6.vtb24.ruEth1/52         120        B           Eth1/52           
ntnx-dso-36          Eth2/1          120        B           eth3              
ntnx-dso-36          Eth2/2          120        B           eth4              
ntnx-dso-37          Eth2/3          120        B           eth3              
ntnx-dso-37          Eth2/4          120        B           eth4              
ntnx-dso-38          Eth2/5          120        B           eth2              
ntnx-dso-38          Eth2/6          120        B           eth3              
ntnx-dso-39          Eth2/7          120        B           eth3              
ntnx-dso-39          Eth2/8          120        B           eth4              
ntnx-dso-40          Eth2/9          120        B           eth3              
ntnx-dso-40          Eth2/10         120        B           eth4              
ntnx-dso-41          Eth2/11         120        B           eth3              
ntnx-dso-41          Eth2/12         120        B           eth4              
ntnx-dso-42          Eth2/13         120        B           eth3              
ntnx-dso-42          Eth2/14         120        B           eth4              
ntnx-dso-43          Eth2/15         120        B           eth3              
ntnx-dso-43          Eth2/16         120        B           eth4              
ntnx-dso-44          Eth2/17         120        B           eth3              
ntnx-dso-44          Eth2/18         120        B           eth4              
ntnx-dso-45          Eth2/19         120        B           eth3              
ntnx-dso-45          Eth2/20         120        B           eth4              
ntnx-dso-46          Eth2/21         120        B           eth3              
ntnx-dso-46          Eth2/22         120        B           eth4              
ntnx-dso-47          Eth2/23         120        B           eth3              
ntnx-dso-47          Eth2/24         120        B           eth4              
ntnx-dso-49          Eth3/1          120        B           eth3              
ntnx-dso-49          Eth3/2          120        B           eth4              
ntnx-dso-48          Eth3/3          120        B           eth3              
ntnx-dso-48          Eth3/4          120        B           eth4              
ntnx-dso-22051       Eth3/5          120        B           eth3              
ntnx-dso-22051       Eth3/6          120        B           eth4              
ntnx-dso-50          Eth3/7          120        B           eth3              
ntnx-dso-50          Eth3/8          120        B           eth4              
ntnx-dso-51          Eth3/9          120        B           eth3              
ntnx-dso-51          Eth3/10         120        B           eth4              
ntnx-dso-52          Eth3/11         120        B           eth3              
ntnx-dso-52          Eth3/12         120        B           eth4              
ntnx-dso-53          Eth3/13         120        B           eth3              
ntnx-dso-53          Eth3/14         120        B           eth4              
ntnx-dso-54          Eth3/15         120        B           eth3              
ntnx-dso-54          Eth3/16         120        B           eth4              
ntnx-dso-55          Eth3/17         120        B           eth3              
ntnx-dso-55          Eth3/18         120        B           eth4              
ntnx-dso-56          Eth3/19         120        B           eth3              
ntnx-dso-57          Eth3/20         120        B           eth3              
ntnx-dso-58          Eth3/21         120        B           eth3              
ntnx-dso-59          Eth3/22         120        B           eth3              
ntnx-dso-60          Eth3/23         120        B           eth3              
ntnx-dso-61          Eth3/24         120        B           eth3              
ntnx-dso-56          Eth151/1/1      120        B           eth4              
ntnx-dso-57          Eth151/1/2      120        B           eth4              
ntnx-dso-58          Eth151/1/3      120        B           eth4              
ntnx-dso-59          Eth151/1/4      120        B           eth4              
ntnx-dso-60          Eth151/1/5      120        B           eth4              
ntnx-dso-61          Eth151/1/6      120        B           eth4              
ntnx-dso-62          Eth151/1/7      120        B           eth4              
Total entries displayed: 101
