

CPU utilization for five seconds: 13%/0%; one minute: 10%; five minutes: 7%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       100790   1012315      0   0.00%   0.00%  0.00%   -    init
 2683           10        27      0   0.00%   0.00%  0.00%   -    portmap
 2718            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 2741       323980   9581872      0   0.00%   0.00%  0.00%   -    sysmgr
 3792         1750    466434      0   0.00%   0.00%  0.00%   -    insmod
 4303           10         4      2   0.00%   0.00%  0.00%   -    xinetd
 4304           10         5      2   0.00%   0.00%  0.00%   -    tftpd
 4305        93560   5914228      0   0.00%   0.00%  0.00%   -    syslogd
 4306           40        91      0   0.00%   0.00%  0.00%   -    sdwrapd
 4307    101558690  61813900      1   0.29%   0.36%  0.34%   -    pfma
 4356        26340   1203317      0   0.00%   0.00%  0.00%   -    vshd
 4357          110    159526      0   0.00%   0.00%  0.00%   -    smm
 4358        45900   4664942      0   0.00%   0.00%  0.00%   -    psshelper
 4359         1880     78398      0   0.00%   0.00%  0.00%   -    mmode
 4360         3570     77833      0   0.00%   0.00%  0.00%   -    lmgrd
 4361        27620   1047547      0   0.00%   0.00%  0.00%   -    licmgr
 4362      3300770    645466      5   0.00%   0.02%  0.02%   -    fs-daemon
 4363       210890   3481886      0   0.00%   0.00%  0.00%   -    feature-mgr
 4364        11320    933034      0   0.00%   0.00%  0.00%   -    fcfwd
 4365          480      3582      0   0.00%   0.00%  0.00%   -    confcheck
 4366         8740    469792      0   0.00%   0.00%  0.00%   -    capability
 4367         8180   1571004      0   0.00%   0.00%  0.00%   -    bloggerd
 4368        46040   4664963      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 4379        28050    155750      0   0.00%   0.00%  0.00%   -    cisco
 4380        80040   2443703      0   0.00%   0.00%  0.00%   -    clis
 4385          120      2528      0   0.00%   0.00%  0.00%   -    klogd
 4392       143650   1065685      0   0.00%   0.00%  0.00%   -    port-profile
 4394        10110    473730      0   0.00%   0.00%  0.00%   -    provision
 4400        18080    940610      0   0.00%   0.00%  0.00%   -    zschk
 4401        18690    939891      0   0.00%   0.00%  0.00%   -    xmpp
 4402        23480   1555658      0   0.00%   0.00%  0.00%   -    xmlma
 4403        18140    939389      0   0.00%   0.00%  0.00%   -    vmm
 4404        19960    583795      0   0.00%   0.00%  0.00%   -    vman
 4405        17590    940215      0   0.00%   0.00%  0.00%   -    vdc_mgr
 4406        25320   2333061      0   0.00%   0.00%  0.00%   -    ttyd
 4407        22440   9905482      0   0.15%   0.14%  0.13%   -    sysinfo
 4408      2478330  14344537      0   0.00%   0.00%  0.00%   -    statsprofiler
 4409          330      1043      0   0.00%   0.00%  0.00%   -    sksd
 4410      1893390    466670      4   0.01%   0.00%  0.00%   -    sensor
 4412         1470     90143      0   0.00%   0.00%  0.00%   -    res_mgr
 4413        42260   4665670      0   0.00%   0.00%  0.00%   -    plugin
 4414        49890   1248629      0   0.00%   0.00%  0.00%   -    pltfm_config
 4415       310580    936033      0   0.00%   0.00%  0.00%   -    plog_sup
 4416       193980   1998618      0   0.00%   0.00%  0.00%   -    pfstat
 4417         2390    158877      0   0.00%   0.00%  0.00%   -    patch-installer
 4418       923590   1864190      0   0.00%   0.00%  0.00%   -    pacifica
 4419        13660    584018      0   0.00%   0.00%  0.00%   -    obfl
 4420       573820   5148611      0   0.00%   0.00%  0.00%   -    nohms
 4421       370720  18777225      0   0.00%   0.00%  0.00%   -    nfp
 4422         6290    313326      0   0.00%   0.00%  0.00%   -    mvsh
 4423        18650    940493      0   0.00%   0.00%  0.00%   -    mcm
 4424        19810    940598      0   0.00%   0.00%  0.00%   -    lim
 4425     23478330  47116082      0   0.03%   0.05%  0.04%   -    ledmgr
 4426       170540   5009556      0   0.00%   0.00%  0.00%   -    l2rib
 4427        63110    967459      0   0.00%   0.00%  0.00%   -    ifmgr
 4428        89520    934283      0   0.00%   0.00%  0.00%   -    idehsd
 4429         6160    313368      0   0.00%   0.00%  0.00%   -    evms
 4431         4850    235272      0   0.00%   0.00%  0.00%   -    evmc
 4432     56975680   1821064     31   4.51%   1.48%  0.49%   -    ethpc
 4433      2328680  38210960      0   0.00%   0.00%  0.00%   -    eth_dstats
 4434          220       117      1   0.00%   0.00%  0.00%   -    core-dmon
 4436        29430   2334418      0   0.00%   0.00%  0.00%   -    bootvar
 4437        11570    933487      0   0.00%   0.00%  0.00%   -    bios_daemon
 4438    600876000  1833647167      0   3.29%   2.14%  1.78%   -    bigsurusd
 4439        42470   2838864      0   0.00%   0.00%  0.00%   -    bfdc
 4440        23050   1247085      0   0.00%   0.00%  0.00%   -    bcm_usd
 4441         8310    466462      0   0.00%   0.00%  0.00%   -    athertonusd
 4442        10600    585348      0   0.00%   0.00%  0.00%   -    ascii-cfg
 4443         3440    312343      0   0.00%   0.00%  0.00%   -    adbm
 4444        63320   4669952      0   0.00%   0.00%  0.00%   -    securityd
 4445        33740    426774      0   0.00%   0.00%  0.00%   -    PMon
 4446        49170   4665469      0   0.00%   0.00%  0.00%   -    cert_enroll
 4447        46470   4684619      0   0.00%   0.00%  0.00%   -    aaa
 4459          210    160861      0   0.00%   0.00%  0.00%   -    l3vm
 4460          210   4880181      0   0.00%   0.00%  0.00%   -    urib
 4464       116500    130535      0   0.00%   0.00%  0.00%   -    aclmgr
 4470        17660    940973      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 4481     51572440  36269060      1   0.11%   0.14%  0.13%   -    fwm
 4482        23550    985977      0   0.88%   0.07%  0.01%   -    qd
 4483    314072340  145500548      2   1.23%   2.36%  1.34%   -    statsclient
 4490    148698410  276014832      0   0.72%   0.79%  0.65%   -    snmpd
 4497          200  363781126      0   0.01%   0.00%  0.00%   -    adjmgr
 4498          210   1408703      0   0.00%   0.00%  0.00%   -    u6rib
 4502           20        17      1   0.00%   0.00%  0.00%   -    core-client
 4506       224150    129589      1   0.00%   0.00%  0.00%   -    copp
 4507          280    255833      0   0.00%   0.00%  0.00%   -    npacl
 4508        13220    103105      0   0.00%   0.00%  0.00%   -    spm
 4533        65150   4899146      0   0.00%   0.00%  0.00%   -    callhome
 4535          740  140150832      0   0.05%   0.07%  0.07%   -    arp
 4536          670    281590      0   0.00%   0.00%  0.00%   -    icmpv6
 4539          340  716495688      0   0.11%   0.20%  0.12%   -    pktmgr
 4540        18640    940059      0   0.00%   0.00%  0.00%   -    sal
 4663      6571850  51003050      0   0.01%   0.03%  0.02%   -    fex
 4664      3420720  34277695      0   0.01%   0.06%  0.05%   -    lldp
 4665          370  249128133      0   0.07%   0.14%  0.06%   -    netstack
 4712        98080   4666117      0   0.00%   0.00%  0.00%   -    radius
 4713         9170    232486      0   0.00%   0.00%  0.00%   -    acllog
 4714      1513350   2686940      0   0.00%   0.00%  0.00%   -    cdp
 4715      5479590  65946311      0   0.01%   0.01%  0.01%   -    cfs
 4716          110  469334546      0   0.01%   0.00%  0.00%   -    ecp
 4717          250  53727986      0   0.00%   0.00%  0.00%   -    igmp
 4718           20        42      0   0.00%   0.00%  0.00%   -    ip_dummy
 4719           20        37      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 4722          230  11906157      0   0.00%   0.00%  0.00%   -    mrib
 4724        19120    943471      0   0.00%   0.00%  0.00%   -    otm
 4725          190   1880005      0   0.00%   0.00%  0.00%   -    rpm
 4726           30        41      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 4760       326460   5165980      0   0.00%   0.00%  0.00%   -    tacacs
