

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        22570    500608      0   0.00%  init
 2747          150        62      0   0.00%  sdwrapd
 2749     53694180  12781860      0   1.04%  pfmclnt
 3062            0         7      0   0.00%  xinetd
 3063            0         5      0   0.00%  tftpd
 3064           90        63      0   0.00%  sdwrapd
 3066          170        85      0   0.00%  fw_app
 3067        14000    816720      0   0.00%  dme_proxy
 3069      4247930   8164788      0   0.00%  platform
 3073        14070    816697      0   0.00%  dme_bootup_proxy
 3074          650       207      0   0.00%  event_manager
 3075        43200   2450049      0   0.00%  mts_telemetry_mgr
 3076         1000       283      0   0.51%  policyelem
 3107       127950   2498397      0   0.00%  syslogd
 3109       124250   3065340      0   0.00%  vshd
 3110         3400     52663      0   0.00%  template_manager
 3111        15270    285406      0   0.00%  tamnw
 3112           60        18      0   0.00%  smm
 3113        54790   2450884      0   0.00%  psshelper
 3114        20420    564889      0   0.00%  pixm_vl
 3115        19660    564649      0   0.00%  pixm_gl
 3116          610       146      0   0.00%  nginx
 3117         3160     52597      0   0.00%  mmode
 3118         2650     41000      0   0.00%  lmgrd
 3119       301660    296366      0   0.00%  fs-daemon
 3120        95160   3910418      0   0.00%  feature-mgr
 3121         1770     22212      0   0.00%  confcheck
 3122         9590    299089      0   0.00%  capability
 3123        15600    279712      0   0.00%  bloggerd
 3124        54110   2450511      0   0.00%  psshelper_gsvc
 3134       478230   2036576      0   0.00%  clis
 3135        24530    734075      0   0.00%  licmgr
 3138       139620   2684565      0   0.00%  tams_proc
 3152         5290     41049      0   0.00%  cisco
 3187       324270   2362654      0   0.00%  tamd_proc
 3188        22570    819372      0   0.00%  xmlma
 3189        17850    564345      0   0.00%  vmm
 3190        22710    564918      0   0.00%  vdc_mgr
 3191        53370    491698      0   0.00%  usbhsd
 3192        40870   1229464      0   0.00%  ttyd
 3193     17280210   3050460      0   0.00%  sysinfo
 3194        14790    413565      0   0.00%  snmpmib_proc
 3195         4870      8187      0   0.00%  sksd
 3197         4330     55615      0   0.00%  res_mgr
 3198        52960   2459389      0   0.00%  plugin
 3199        14020    497491      0   0.00%  plog_sup
 3200        40190   2453838      0   0.00%  patch-installer
 3201          210        72      0   0.00%  nxapi
 3202         6770    204213      0   0.00%  mvsh
 3203          290       157      0   0.00%  mts_mgr
