

PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        22460    500067      0   0.00%  init
 2746          140        60      0   0.00%  sdwrapd
 2748     53988680  12747630      0   0.00%  pfmclnt
 3061            0         7      0   0.00%  xinetd
 3062            0         4      0   0.00%  tftpd
 3063           80        65      0   0.00%  sdwrapd
 3065          160        83      0   0.00%  fw_app
 3066        13710    816091      0   0.00%  dme_proxy
 3068      3941490   7822884      0   0.00%  platform
 3072        13870    816093      0   0.00%  dme_bootup_proxy
 3073          650       180      0   0.00%  event_manager
 3074        43400   2447985      0   0.00%  mts_telemetry_mgr
 3075          980       247      0   0.00%  policyelem
 3106       128090   2495130      0   0.00%  syslogd
 3108       122900   3062874      0   0.00%  vshd
 3109         3310     48852      0   0.00%  template_manager
 3110        15140    280697      0   0.00%  tamnw
 3111           60        24      0   0.00%  smm
 3112        53300   2448804      0   0.00%  psshelper
 3113        19660    498587      0   0.00%  pixm_vl
 3114        18750    498081      0   0.00%  pixm_gl
 3115          630       143      0   0.00%  nginx
 3116         3070     48811      0   0.00%  mmode
 3117         2520     40957      0   0.00%  lmgrd
 3118       266860    274391      0   0.00%  fs-daemon
 3119        95800   3908292      0   0.00%  feature-mgr
 3120         1740     22199      0   0.00%  confcheck
 3121         9030    252818      0   0.00%  capability
 3122        15420    279615      0   0.00%  bloggerd
 3123        54050   2448443      0   0.00%  psshelper_gsvc
 3131       137180   2681083      0   0.00%  tams_proc
 3135       477810   2034801      0   0.00%  clis
 3136        24870    732720      0   0.00%  licmgr
 3150         5250     40975      0   0.00%  cisco
 3186       325200   2356458      0   0.00%  tamd_proc
 3187        22320    818823      0   0.00%  xmlma
 3188        16840    497752      0   0.00%  vmm
 3189        21890    498223      0   0.00%  vdc_mgr
 3190        53220    491075      0   0.00%  usbhsd
 3191        40550   1228314      0   0.00%  ttyd
 3192     17254820   3070794      0   0.00%  sysinfo
 3193        13620    351105      0   0.00%  snmpmib_proc
 3194         4830      8199      0   0.00%  sksd
 3196         4300     55109      0   0.00%  res_mgr
 3197        52050   2457490      0   0.00%  plugin
 3198        13870    497000      0   0.00%  plog_sup
 3199        40950   2451948      0   0.00%  patch-installer
