
 OSPF Process ID 1 VRF default
 Total number of neighbors: 27
 Neighbor ID     Pri State            Up Time  Address         Interface
 10.8.252.56       0 FULL/ -          1w1d     10.8.252.56     tunnel-te7056 
 10.8.252.58       1 FULL/ -          1w1d     10.8.1.182      Po3 
 10.8.252.59       1 FULL/ -          1w1d     10.8.1.186      Po4 
 10.8.252.9        1 FULL/ -          1w1d     10.8.1.210      Po5 
 10.8.252.2        1 FULL/ -          1w1d     10.8.255.38     Po12 
 10.8.252.67       1 FULL/ -          1w1d     10.8.255.138    Po1051 
 10.8.252.68       1 FULL/ -          1w1d     10.8.255.142    Po1052 
 10.8.252.3        1 FULL/ -          1w1d     10.8.255.46     Eth1/2 
 10.8.252.107      1 FULL/ -          1w1d     10.8.1.242      Eth1/3 
 10.8.252.7        1 FULL/ -          1w1d     10.8.1.158      Eth1/4 
 10.8.252.49       1 FULL/ -          1w1d     10.8.255.102    Eth1/7 
 10.8.252.23       1 FULL/ -          1w1d     10.8.1.202      Eth1/8 
 10.8.252.41       1 FULL/ -          1w1d     10.8.2.122      Eth1/10 
 10.8.252.62       1 FULL/ -          1w1d     10.8.255.130    Eth1/11 
 10.8.252.251      1 FULL/ -          1w1d     10.8.1.218      Eth1/20 
 10.8.252.4        1 FULL/ -          1w1d     10.8.255.50     Eth2/2 
 10.8.252.108      1 FULL/ -          1w1d     10.8.1.246      Eth2/3 
 10.8.252.8        1 FULL/ -          1w1d     10.8.1.162      Eth2/4 
 10.8.252.55       1 FULL/ -          1w1d     10.8.1.174      Eth2/6 
 10.8.252.50       1 FULL/ -          1w1d     10.8.255.106    Eth2/7 
 10.8.252.101    128 FULL/ -          1w1d     10.8.1.234      Eth2/8 
 10.8.252.252      1 FULL/ -          1w1d     10.8.1.226      Eth2/20 
 10.8.252.67       1 FULL/ -          1w1d     10.8.255.181    Eth7/2 
 10.8.252.58       1 FULL/ -          6d02h    10.8.13.102     Eth7/3 
 10.8.252.68       1 FULL/ -          1w1d     10.8.255.189    Eth8/2 
 10.8.252.59       1 FULL/ -          6d02h    10.8.13.106     Eth8/3 
 10.8.252.2        1 FULL/ -          1w1d     10.8.255.178    Po10 
