Sensor List:  Environmental Monitoring 
 Sensor           Location          State             Reading
 PEM Iout         P0                Normal            5 A
 PEM Vout         P0                Normal            12 V DC
 PEM Vin          P0                Normal            231 V AC
 Temp: PEM In     P0                Normal            33 Celsius
 Temp: PEM Out    P0                Normal            35 Celsius
 Temp: PEM Int    P0                Normal            37 Celsius
 PEM Iout         P1                Normal            5 A
 PEM Vout         P1                Normal            12 V DC
 PEM Vin          P1                Normal            234 V AC
 Temp: PEM In     P1                Normal            35 Celsius
 Temp: PEM Out    P1                Normal            29 Celsius
 Temp: PEM Int    P1                Normal            37 Celsius
 VVM 0: VX1       R0                Normal            1502 mV
 VVM 0: VX2       R0                Normal            753 mV
 VVM 0: VX3       R0                Normal            1004 mV
 VVM 0: VX4       R0                Normal            1055 mV
 VVM 0: VX5       R0                Normal            898 mV
 VVM 0: VP1       R0                Normal            5075 mV
 VVM 0: VP3       R0                Normal            1506 mV
 VVM 0: VP4       R0                Normal            1792 mV
 VVM 0: VH        R0                Normal            11951 mV
 VVM 1: VX1       R0                Normal            1200 mV
 VVM 1: VX2       R0                Normal            831 mV
 VVM 1: VX3       R0                Normal            858 mV
 VVM 1: VX4       R0                Normal            996 mV
 VVM 1: VX5       R0                Normal            874 mV
 VVM 1: VP2       R0                Normal            3331 mV
 VVM 1: VP3       R0                Normal            1802 mV
 VVM 1: VP4       R0                Normal            997 mV
 VVM 1: VH        R0                Normal            11935 mV
 VVM 2: VX1       R0                Normal            1115 mV
 VVM 2: VX2       R0                Normal            1103 mV
 VVM 2: VX3       R0                Normal            1214 mV
 VVM 2: VX4       R0                Normal            2494 mV
 VVM 2: VX5       R0                Normal            960 mV
 VVM 2: VP2       R0                Normal            1534 mV
 VVM 2: VP3       R0                Normal            1505 mV
 VVM 2: VP4       R0                Normal            2492 mV
 VVM 2: VH        R0                Normal            11951 mV
 VVM 2: AUX1      R0                Normal            744 mV
 VVM 2: AUX2      R0                Normal            750 mV
 Temp: sTCAM      R0                Normal            31 Celsius
 Temp: Inlet      R0                Normal            26 Celsius
 Temp: Outlet     R0                Normal            39 Celsius
 Temp: QFP Die    R0                Normal            41 Celsius
 Temp: Center     R0                Normal            40 Celsius
 Temp: Oct Die    R0                Normal            45 Celsius
 Temp: CPU Inlt   R0                Normal            30 Celsius
 Temp: CPU VRM    R0                Normal            28 Celsius
 Temp: CPU Die    R0                Normal            39 Celsius
 Temp: FC FANS    R0                Fan Speed 60%     26 Celsius
 Temp: FC FAN0    P0                Fan Speed 60%     26 Celsius
 Temp: FC FAN1    P1                Fan Speed 60%     26 Celsius


