CPU utilization for five seconds: 3%/1%; one minute: 1%; five minutes: 1%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
   1 Cwe 7FB212E44673            2         41      4822656/24000  0 Chunk Manager   
   2 Csp 7FB21742E448      2440923   10491856     23210976/12000  0 Load Meter      
   3 Mwe 7FB21331D24D       362806    6913790      5220480/24000  0 LDP Main        
   4 Mwe 7FB214CAFC7F            0          6       023408/24000  0 Retransmission o
   5 Mwe 7FB214CAB8A3            0          2       022016/24000  0 IPC ISSU Dispatc
   6 Mwe 7FB21331D24D            5         12     41620688/24000  0 RF Slave Main Th
   7 Mwe 7FB217636795            1          1    100094304/96000  0 EDDRI_MAIN      
   8 Mwe 7FB212DDE6D4            0          1       023392/24000  0 RO Notify Timers
   9 Lst 7FB212E72A6D     17152497    7104980    241422704/24000  0 Check heaps     
  10 Cwe 7FB212E6776D        56870     874332      6522784/24000  0 Pool Manager    
  11 Mwe 7FB212E6760D            0          1       023376/24000  0 DiscardQ Backgro
  12 Mst 7FB20FA2BC0E            0          2       022880/24000  0 Timers          
  13 Mwe 7FB20FA87515          231      52883       411408/12000  0 WATCH_AFS       
  14 Mwe 7FB20E803CD9            0          1       023328/24000  0 MEMLEAK PROCESS 
  15 Mwe 7FB20E89FABD         8233      93259      8821696/24000  0 ARP Input       
  16 Mwe 7FB20E899E8E      1221879   54697648      2221840/24000  0 ARP Background  
  17 Mwe 7FB20E94ED25            0          2       022864/24000  0 ATM Idle Timer  
  18 Mwe 7FB20E939B5D            0          1       023344/24000  0 ATM ASYNC PROC  
  19 Lwe 7FB20FA0AF68            0          1       023408/24000  0 AAA_SERVER_DEADT
  20 Mwe 7FB20FBBA4A1            0          1       047280/48000  0 Policy Manager  
  21 Mwe 7FB20FD13606            0          2       022800/24000  0 DDR Timers      
  22 Lwe 7FB20FF545D4           17          8    212520624/24000  0 Entity MIB API  
  23 Mst 7FB2123DC063          158        156    101219856/24000  0 PrstVbl         
  24 Mwe 7FB212DE755D            0          1       011408/12000  0 RMI RM Notify Wa
  25 Cwe 7FB213A245DE       561642   26228198      2123192/24000  0 IOSXE heartbeat 
  26 Mwe 7FB213D79F8C            0          2       034864/36000  0 ATM AutoVC Perio
  27 Mwe 7FB213D78702            0          2       022864/24000  0 ATM VC Auto Crea
  28 Mwe 7FB2144CB22B            0          1       023344/24000  0 IPC Apps Task   
  29 Mwe 7FB214A920C7            0          1       023392/24000  0 ifIndex Receive 
  30 Mwe 7FB214C13BE5        63778   10489331       623408/24000  0 IPC Event Notifi
  31 Mwe 7FB214C6F48F       849454   51225339      1623408/24000  0 IPC Mcast Pendin
  32 Mwe 7FB213A2B6C1            0          1       023328/24000  0 ASR1000 appsess 
  33 Mwe 7FB214C42C27         3850     874114       423440/24000  0 IPC Dynamic Cach
  34 Mwe 7FB214C5BC0F        59800   10489331       523376/24000  0 IPC Service NonC
  35 Mwe 7FB214C439F3            0          1       023424/24000  0 IPC Zone Manager
  36 Mwe 7FB214C42D17       939658   51225338      1823232/24000  0 IPC Periodic Tim
  37 Mwe 7FB214C4BE90       787568   51225338      1523328/24000  0 IPC Deferred Por
  38 Mwe 7FB214C42E4F            0          1       023440/24000  0 IPC Process leve
  39 Mwe 7FB214C4303E            0          4       021936/24000  0 IPC Seat Manager
  40 Mwe 7FB214C007D7        40604    2997659      1323264/24000  0 IPC Check Queue 
  41 Mwe 7FB214C43822            1         18      5521920/24000  0 IPC Seat RX Cont
  42 Mwe 7FB214C43932            0          1       023376/24000  0 IPC Seat TX Cont
  43 Mwe 7FB214C43FFA       274019    5245929      5222384/24000  0 IPC Keep Alive M
  44 Hsi 7FB214C0AB42       712051   10491534      6723392/24000  0 IPC Loadometer  
  45 Mwe 7FB214C0121A            0          1       023408/24000  0 IPC Session Deta
  46 Mwe 7FB2168E59D2            5          5    100021024/24000  0 SENSOR-MGR event
  47 Hsp 7FB2169131AA        69235    5245930      1323424/24000  0 Compute SRP rate
  48 Lwe 7FB217D50892            0          1       023408/24000  0 CEF MIB API     
  49 Mwe 7FB21868F18E            0          2       022848/24000  0 Serial Backgroun
  50 Mwe 7FB20E66EF5F            0          1       047344/48000  0 License IPC stat
  51 Mwe 7FB20E66F6BC            0          1       047360/48000  0 License IPC serv
  52 Hwe 7FB216C97C1C         7664     755782      1022384/24000  0 Net Input       
  53 Msp 7FB20FB25748       868327   52459267      1622976/24000  0 GraphIt         
  54 Mwe 7FB20FD4D543            0          2       046864/48000  0 Dialer event    
  55 Lwe 7FB213846FF7           97       3797      2518464/24000  0 crypto sw pk pro
  56 Hwe 7FB213A25A81            0          1       022512/24000  0 IOSXE signals IO
  57 Mwe 7FB213DD2880            0          2       022944/24000  0 SMART           
  58 Mwe 7FB214E16A6A            0          4       022096/24000  0 client_entity_se
  59 Mwe 7FB21331D24D            0          1       022096/24000  0 RF SCTPthread   
  60 Mwe 7FB21331D24D            0          1       022096/24000  0 CHKPT RG SCTPthr
  61 Mwe 7FB21869AE09            0          1       023408/24000  0 SERIAL A'detect 
  62 Mwe 7FB20E68E910            0          2       021936/24000  0 License Client N
  63 Mwe 7FB20E66028A            0          1       023280/24000  0 Image License br
  64 Msi 7FB20E695744     12532456     874122   1433719168/24000  0 Licensing Auto U
  65 Mwe 7FB20E62C2D1            0          1       023344/24000  0 License HA Consi
  66 Mwe 7FB21695BC49            0          1       023408/24000  0 Token Daemon    
  67 Cwe 7FB212E855E8            0          1       023440/24000  0 Critical Bkgnd  
  68 Mwe 7FB216C89455       807801    5374999     15044328/48000  0 Net Background  
  69 Mwe 7FB216C89804            0          3       046752/48000  0 IDB Work        
  70 Lwe 7FB20FB8AB50          264      15065      1746152/48000  0 Logger          
  71 Mwe 7FB20FA35A4F       580180   52446741      1121528/24000  0 TTY Background  
  72 Mwe 7FB214121CAA           88       2413      3646832/48000  0 SXP CORE        
  73 Mwe 7FB21416C605            0          2       046640/48000  0 CTS CORE        
  74 Mwe 7FB21474F766            0          1       023408/24000  0 BACK CHECK      
  75 Mwe 7FB213A22C08      8705153  148708034      5888240/96000  0 IOSD ipc task   
  76 Mwe 7FB213A231FF       393711   48764483       892848/96000  0 IOSD chasfs task
  77 Mwe 7FB2141A2FDE            0          2       022960/24000  0 CTS HA          
  78 Mwe 7FB214596E4E       140518    7494092      1835280/36000  0 REDUNDANCY FSM  
  79 Mwe 7FB2168B87A1            0          1       023360/24000  0 SBC IPC Hold Que
  80 Mwe 7FB2170A892C            0          1       011392/12000  0 Punt FP Stats Du
  81 Hst 7FB2170A72BD      2382056   26226162      90 8992/12000  0 PuntInject Keepa
  82 Mwe 7FB217DFE1EE            2          7     28522624/24000  0 IF-MGR control p
  83 Mwe 7FB217E0FFBC            0         14       022752/24000  0 IF-MGR event pro
  84 Mwe 7FB213A67A96       891323   52446640      1620784/24000  0 Environmental Mo
  85 Mwe 7FB21467A470       423868   52446639       823168/24000  0 RP HA Periodic  
