TCB       Local Address               Foreign Address             (state)
7FB0E086B328  10.8.252.23.179            10.8.252.32.42672           ESTAB
7FB0F1A4D9F8  10.8.252.23.179            10.8.40.3.23870             ESTAB
7FB0F14A3E58  10.8.252.23.179            10.8.252.86.21295           ESTAB
7FB0F1F67A30  10.8.252.23.179            10.8.252.60.17724           ESTAB
7FB0F1223588  10.8.252.23.179            10.8.252.77.57343           ESTAB
7FB0F13C5DA0  10.8.252.23.179            10.8.252.42.51702           ESTAB
7FB0F1451380  10.8.252.23.179            10.8.252.28.24820           ESTAB
7FB0F1A4A590  10.8.252.23.179            10.8.252.16.49513           ESTAB
7FB0F11FB9D0  10.8.252.23.179            10.8.252.47.28730           ESTAB
7FB0F1FB78D0  10.8.252.23.179            10.8.252.31.28217           ESTAB
7FB0F19C4878  10.8.252.23.179            10.8.252.13.59506           ESTAB
7FB0F129AD88  10.8.252.23.179            10.8.252.70.36999           ESTAB
7FB0F1CA4420  10.8.252.23.22             10.64.0.111.58106           ESTAB
7FB0F1221098  10.8.252.23.179            10.8.252.9.34147            ESTAB
7FB0F1C13A70  10.8.252.23.179            10.8.252.37.26899           ESTAB
7FB0F1FAEE30  10.8.252.23.179            10.8.252.80.28445           ESTAB
7FB0EF6878C0  10.8.252.23.179            10.8.252.61.45942           ESTAB
7FB0F14203D8  10.8.252.23.179            10.8.252.66.45975           ESTAB
7FB0F1D6DA00  10.8.252.23.179            10.8.252.100.41994          ESTAB
7FB0F1FDD128  10.8.252.23.179            10.8.252.5.35645            ESTAB
7FB0F1291788  10.8.252.23.179            10.8.252.89.61167           ESTAB
7FB0F14E2D30  10.8.252.23.179            10.8.252.64.58892           ESTAB
7FB0F1B36138  10.8.252.23.179            10.8.252.69.36983           ESTAB
7FB0F129A408  10.8.252.23.179            10.8.252.8.40191            ESTAB
7FB0F1954390  10.8.252.23.179            10.8.252.15.46888           ESTAB
7FB0F1A4AF10  10.8.252.23.179            10.8.252.254.55958          ESTAB
7FB0F1FE2D80  10.8.252.23.179            10.8.252.12.24293           ESTAB
7FB0F20C3898  10.8.252.23.179            10.8.252.85.17133           ESTAB
7FB0F1A23D90  10.8.252.23.179            10.8.252.14.60387           ESTAB
7FB0F20C2D90  10.8.252.23.179            10.8.252.97.51719           ESTAB
7FB0F1292108  10.8.252.23.179            10.8.252.88.54925           ESTAB
7FB0F1CA1258  10.8.252.23.179            10.8.252.10.23233           ESTAB
7FB0F14A47D8  10.8.252.23.179            10.8.252.11.15995           ESTAB
7FB0F1A33C70  10.8.252.23.179            10.8.252.36.46064           ESTAB
7FB0F2077510  10.8.252.23.179            10.8.252.75.27876           ESTAB
7FB0D955D618  10.8.252.23.179            10.8.252.252.50328          ESTAB
7FB0F14A5428  10.8.252.23.179            10.8.252.52.2605            ESTAB
7FB0F1D75780  10.8.252.23.179            10.8.252.76.33056           ESTAB
7FB0E0865F78  10.8.252.23.179            10.8.252.59.40341           ESTAB
7FB0F1954E98  10.8.252.23.179            10.8.38.3.26759             ESTAB
7FB0F11570F8  10.8.252.23.179            10.8.252.7.47057            ESTAB
7FB0F1290670  10.8.252.23.179            10.8.252.27.61527           ESTAB
7FB0F1DA2AD0  10.8.252.23.179            10.8.252.84.21660           ESTAB
7FB0F1D77898  10.8.252.23.179            10.8.252.98.50952           ESTAB
7FB0F144EC98  10.8.252.23.179            10.8.252.65.3539            ESTAB
7FB0F1299A88  10.8.252.23.179            10.8.252.87.19975           ESTAB
7FB0F12247C0  10.8.252.23.50657          10.8.252.1.646              ESTAB
7FB0F22021D8  10.8.252.23.179            10.8.252.81.48629           ESTAB
7FB0F1A92488  10.8.252.23.179            10.8.252.72.12560           ESTAB
7FB0F144BAA8  10.8.252.23.179            10.8.252.51.20162           ESTAB
7FB0E05568A0  10.8.252.23.179            10.8.252.25.63317           ESTAB
7FB0F19F51C0  10.8.252.23.22499          10.8.39.3.179               ESTAB
7FB0F1222938  10.8.252.23.179            10.8.252.41.18781           ESTAB
7FB0F14243E8  10.8.252.23.179            10.8.252.48.26971           ESTAB
7FB0F1CADA48  10.8.252.23.179            10.8.252.99.24310           ESTAB
7FB0F11B5A40  10.8.252.23.179            10.8.252.71.9779            ESTAB
7FB0F1A57EF0  10.8.252.23.179            10.8.252.101.63575          ESTAB
7FB0F1D18678  10.8.252.23.179            10.8.252.55.26472           ESTAB
7FB0F1A91980  10.8.252.23.63532          10.8.252.2.646              ESTAB
7FB0E08487E8  10.8.252.23.179            10.8.252.58.54285           ESTAB
7FB0F1422140  10.8.252.23.179            10.8.252.56.58117           ESTAB
7FB0F1D833F8  10.8.252.23.179            10.8.252.6.48687            ESTAB
7FB0E05A9140  10.8.252.23.179            10.8.252.251.50396          ESTAB
7FB0F21A3810  10.8.252.23.179            10.8.252.26.52646           ESTAB
7FB0F1C915F8  10.8.252.23.179            10.8.252.253.62065          ESTAB
7FB0F1CA2490  10.8.252.23.179            10.8.252.102.50371          ESTAB
7FB0F1FDDAA8  0.0.0.0.179                10.8.40.3.*                 LISTEN
7FB0F1C143F0  0.0.0.0.179                10.8.39.3.*                 LISTEN
7FB0E1A026B0  0.0.0.0.179                10.8.38.3.*                 LISTEN
7FB0F21B20A8  0.0.0.0.179                10.8.252.102.*              LISTEN
7FB0F1A92F90  0.0.0.0.179                10.8.252.252.*              LISTEN
7FB0F1C86EF0  0.0.0.0.179                10.8.252.251.*              LISTEN
7FB0F225D4D0  0.0.0.0.179                10.8.252.254.*              LISTEN
7FB0F1FA87A0  0.0.0.0.179                10.8.252.253.*              LISTEN
7FB0F1AA3948  0.0.0.0.179                10.8.252.101.*              LISTEN
7FB0F1FA7E20  0.0.0.0.179                10.8.252.100.*              LISTEN
7FB0E0558680  0.0.0.0.179                10.8.252.99.*               LISTEN
7FB0E086BCA8  0.0.0.0.179                10.8.252.98.*               LISTEN
7FB0F1221CE8  0.0.0.0.179                10.8.252.97.*               LISTEN
7FB0F1DA35D8  0.0.0.0.179                10.8.252.95.*               LISTEN
7FB0F1B8BD90  0.0.0.0.179                10.8.252.94.*               LISTEN
7FB0F14E1C50  0.0.0.0.179                10.8.252.93.*               LISTEN
7FB0F2076088  0.0.0.0.179                10.8.252.92.*               LISTEN
7FB0F0512768  0.0.0.0.179                10.97.252.4.*               LISTEN
7FB0F0511738  0.0.0.0.179                10.97.252.3.*               LISTEN
7FB0F0510678  0.0.0.0.179                10.8.252.89.*               LISTEN
7FB0F050F5B8  0.0.0.0.179                10.8.252.88.*               LISTEN
7FB0F050E4F8  0.0.0.0.179                10.8.252.87.*               LISTEN
7FB0F050D438  0.0.0.0.179                10.8.252.86.*               LISTEN
7FB0F050C378  0.0.0.0.179                10.8.252.85.*               LISTEN
7FB0F050B2B8  0.0.0.0.179                10.8.252.84.*               LISTEN
7FB0F050A1F8  0.0.0.0.179                10.8.252.81.*               LISTEN
7FB0F0509138  0.0.0.0.179                10.8.252.80.*               LISTEN
7FB0F05076E0  0.0.0.0.179                10.8.252.77.*               LISTEN
7FB0F0505328  0.0.0.0.179                10.8.252.76.*               LISTEN
7FB0F0504268  0.0.0.0.179                10.8.252.75.*               LISTEN
7FB0F05031A8  0.0.0.0.179                10.8.252.72.*               LISTEN
7FB0F05020E8  0.0.0.0.179                10.8.252.71.*               LISTEN
7FB0F0501028  0.0.0.0.179                10.8.252.70.*               LISTEN
7FB0F04FEBF8  0.0.0.0.179                10.8.252.69.*               LISTEN
7FB0F04FD1F8  0.0.0.0.179                10.8.252.66.*               LISTEN
7FB0F04FC138  0.0.0.0.179                10.8.252.65.*               LISTEN
7FB0F04FB078  0.0.0.0.179                10.8.252.64.*               LISTEN
7FB0F04FA048  0.0.0.0.179                10.8.252.61.*               LISTEN
7FB0F04F9018  0.0.0.0.179                10.8.252.60.*               LISTEN
7FB0F04F7F58  0.0.0.0.179                10.8.252.59.*               LISTEN
7FB0F04F6390  0.0.0.0.179                10.8.252.58.*               LISTEN
7FB0F04F5360  0.0.0.0.179                10.8.252.56.*               LISTEN
7FB0F04F4330  0.0.0.0.179                10.8.252.55.*               LISTEN
7FB0F04F2848  0.0.0.0.179                10.8.252.54.*               LISTEN
7FB0F04F1788  0.0.0.0.179                10.8.252.53.*               LISTEN
7FB0F04F06C8  0.0.0.0.179                10.8.252.52.*               LISTEN
7FB0F04EF608  0.0.0.0.179                10.8.252.51.*               LISTEN
7FB0F04EE548  0.0.0.0.179                10.8.252.48.*               LISTEN
7FB0F04ED488  0.0.0.0.179                10.8.252.47.*               LISTEN
7FB0F04EC3C8  0.0.0.0.179                10.8.252.42.*               LISTEN
7FB0F04EB308  0.0.0.0.179                10.8.252.41.*               LISTEN
7FB0F04E9AE8  0.0.0.0.179                10.8.252.39.*               LISTEN
7FB0F04E7FB0  0.0.0.0.179                10.8.252.38.*               LISTEN
7FB0F04E6F80  0.0.0.0.179                10.8.252.37.*               LISTEN
7FB0F04E5580  0.0.0.0.179                10.8.252.36.*               LISTEN
7FB0F04E44C0  0.0.0.0.179                10.8.252.32.*               LISTEN
7FB0F04E3400  0.0.0.0.179                10.8.252.31.*               LISTEN
7FB0F04E2340  0.0.0.0.179                10.8.252.28.*               LISTEN
7FB0F04E0858  0.0.0.0.179                10.8.252.27.*               LISTEN
7FB0F04DF798  0.0.0.0.179                10.8.252.26.*               LISTEN
7FB0F04DE6D8  0.0.0.0.179                10.8.252.25.*               LISTEN
7FB0F04DD618  0.0.0.0.179                10.8.252.18.*               LISTEN
7FB0F04DC558  0.0.0.0.179                10.8.252.17.*               LISTEN
7FB0F04DB498  0.0.0.0.179                10.8.252.16.*               LISTEN
7FB0F04D98D0  0.0.0.0.179                10.8.252.15.*               LISTEN
7FB0F04D8810  0.0.0.0.179                10.8.252.14.*               LISTEN
7FB0F04D7750  0.0.0.0.179                10.8.252.13.*               LISTEN
7FB0F04D6690  0.0.0.0.179                10.8.252.12.*               LISTEN
7FB0F04D55D0  0.0.0.0.179                10.8.252.11.*               LISTEN
7FB0F04D4510  0.0.0.0.179                10.8.252.10.*               LISTEN
7FB0F04D3450  0.0.0.0.179                10.8.252.9.*                LISTEN
7FB0F04D2390  0.0.0.0.179                10.8.252.8.*                LISTEN
7FB0F04D12D0  0.0.0.0.179                10.8.252.7.*                LISTEN
7FB0F04D0210  0.0.0.0.179                10.8.252.6.*                LISTEN
7FB0F04C3AC0  0.0.0.0.179                10.8.252.5.*                LISTEN
