Sensor List:  Environmental Monitoring 
 Sensor           Location          State             Reading
 PEM Iout         P0                Normal            5 A
 PEM Vout         P0                Normal            12 V DC
 PEM Vin          P0                Normal            228 V AC
 Temp: PEM In     P0                Normal            35 Celsius
 Temp: PEM Out    P0                Normal            29 Celsius
 Temp: PEM Int    P0                Normal            32 Celsius
 PEM Iout         P1                Normal            5 A
 PEM Vout         P1                Normal            12 V DC
 PEM Vin          P1                Normal            230 V AC
 Temp: PEM In     P1                Normal            32 Celsius
 Temp: PEM Out    P1                Normal            29 Celsius
 Temp: PEM Int    P1                Normal            33 Celsius
 VVM 0: VX1       R0                Normal            1512 mV
 VVM 0: VX2       R0                Normal            753 mV
 VVM 0: VX3       R0                Normal            1002 mV
 VVM 0: VX4       R0                Normal            1058 mV
 VVM 0: VX5       R0                Normal            900 mV
 VVM 0: VP1       R0                Normal            5088 mV
 VVM 0: VP3       R0                Normal            1506 mV
 VVM 0: VP4       R0                Normal            1796 mV
 VVM 0: VH        R0                Normal            11930 mV
 VVM 1: VX1       R0                Normal            1198 mV
 VVM 1: VX2       R0                Normal            844 mV
 VVM 1: VX3       R0                Normal            857 mV
 VVM 1: VX4       R0                Normal            997 mV
 VVM 1: VX5       R0                Normal            875 mV
 VVM 1: VP2       R0                Normal            3320 mV
 VVM 1: VP3       R0                Normal            1783 mV
 VVM 1: VP4       R0                Normal            995 mV
 VVM 1: VH        R0                Normal            11930 mV
 VVM 2: VX1       R0                Normal            1114 mV
 VVM 2: VX2       R0                Normal            1102 mV
 VVM 2: VX3       R0                Normal            1208 mV
 VVM 2: VX4       R0                Normal            2506 mV
 VVM 2: VX5       R0                Normal            961 mV
 VVM 2: VP2       R0                Normal            1532 mV
 VVM 2: VP3       R0                Normal            1506 mV
 VVM 2: VP4       R0                Normal            2474 mV
 VVM 2: VH        R0                Normal            11930 mV
 VVM 2: AUX1      R0                Normal            746 mV
 VVM 2: AUX2      R0                Normal            750 mV
 Temp: sTCAM      R0                Normal            27 Celsius
 Temp: Inlet      R0                Normal            22 Celsius
 Temp: Outlet     R0                Normal            33 Celsius
 Temp: QFP Die    R0                Normal            35 Celsius
 Temp: Center     R0                Normal            34 Celsius
 Temp: Oct Die    R0                Normal            40 Celsius
 Temp: CPU Inlt   R0                Normal            27 Celsius
 Temp: CPU VRM    R0                Normal            27 Celsius
 Temp: CPU Die    R0                Normal            35 Celsius
 Temp: FC FANS    R0                Fan Speed 60%     22 Celsius
 Temp: FC FAN0    P0                Fan Speed 60%     22 Celsius
 Temp: FC FAN1    P1                Fan Speed 60%     22 Celsius


