CPU utilization for five seconds: 3%/1%; one minute: 1%; five minutes: 1%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
   1 Cwe 7FBA4C53A673            1         43      2322656/24000  0 Chunk Manager   
   2 Csp 7FBA50B24448      2367004   10612976     223 9840/12000  0 Load Meter      
   3 Mwe 7FBA4CA1324D       361161    6993742      5120480/24000  0 LDP Main        
   4 Mwe 7FBA4E3A5C7F            0          6       023408/24000  0 Retransmission o
   5 Mwe 7FBA4E3A18A3            0          2       022016/24000  0 IPC ISSU Dispatc
   6 Mwe 7FBA4CA1324D           13         12    108320688/24000  0 RF Slave Main Th
   7 Mwe 7FBA50D2C795            0          1       094304/96000  0 EDDRI_MAIN      
   8 Mwe 7FBA4C4D46D4            0          1       023392/24000  0 RO Notify Timers
   9 Lst 7FBA4C568A6D     17324758    7186348    241022704/24000  0 Check heaps     
  10 Cwe 7FBA4C55D76D        53929     884421      6022784/24000  0 Pool Manager    
  11 Mwe 7FBA4C55D60D            0          1       023376/24000  0 DiscardQ Backgro
  12 Mst 7FBA49121C0E            0          2       022880/24000  0 Timers          
  13 Mwe 7FBA4917D515          200      53217       311408/12000  0 WATCH_AFS       
  14 Mwe 7FBA47EF9CD9            0          1       023328/24000  0 MEMLEAK PROCESS 
  15 Mwe 7FBA47F95ABD         8817      94341      9321696/24000  0 ARP Input       
  16 Mwe 7FBA47F8FE8E      1273029   55327013      2321840/24000  0 ARP Background  
  17 Mwe 7FBA48044D25            0          2       022864/24000  0 ATM Idle Timer  
  18 Mwe 7FBA4802FB5D            0          1       023344/24000  0 ATM ASYNC PROC  
  19 Lwe 7FBA49100F68            0          1       023408/24000  0 AAA_SERVER_DEADT
  20 Mwe 7FBA492B04A1            0          1       047280/48000  0 Policy Manager  
  21 Mwe 7FBA49409606            0          2       022800/24000  0 DDR Timers      
  22 Lwe 7FBA4964A5D4           17          8    212520624/24000  0 Entity MIB API  
  23 Mst 7FBA4BAD2063          152        158     96219856/24000  0 PrstVbl         
  24 Mwe 7FBA4C4DD55D            0          1       011408/12000  0 RMI RM Notify Wa
  25 Cwe 7FBA4D11A5DE       593528   26530938      2223192/24000  0 IOSXE heartbeat 
  26 Mwe 7FBA4D46FF8C            0          2       034864/36000  0 ATM AutoVC Perio
  27 Mwe 7FBA4D46E702            0          2       022864/24000  0 ATM VC Auto Crea
  28 Mwe 7FBA4DBC122B            0          1       023344/24000  0 IPC Apps Task   
  29 Mwe 7FBA4E1880C7            0          1       023392/24000  0 ifIndex Receive 
  30 Mwe 7FBA4E309BE5        65672   10610420       623408/24000  0 IPC Event Notifi
  31 Mwe 7FBA4E36548F       833029   51816556      1623408/24000  0 IPC Mcast Pendin
  32 Mwe 7FBA4D1216C1            0          1       023328/24000  0 ASR1000 appsess 
  33 Mwe 7FBA4E338C27         3842     884205       423440/24000  0 IPC Dynamic Cach
  34 Mwe 7FBA4E351C0F        55914   10610420       523376/24000  0 IPC Service NonC
  35 Mwe 7FBA4E3399F3            0          1       023424/24000  0 IPC Zone Manager
  36 Mwe 7FBA4E338D17       977816   51816555      1823232/24000  0 IPC Periodic Tim
  37 Mwe 7FBA4E341E90       810424   51816555      1523328/24000  0 IPC Deferred Por
  38 Mwe 7FBA4E338E4F            0          1       023440/24000  0 IPC Process leve
  39 Mwe 7FBA4E33903E            0          4       021936/24000  0 IPC Seat Manager
  40 Mwe 7FBA4E2F67D7        41667    3032265      1323264/24000  0 IPC Check Queue 
  41 Mwe 7FBA4E339822            0         18       021920/24000  0 IPC Seat RX Cont
  42 Mwe 7FBA4E339932            0          1       023376/24000  0 IPC Seat TX Cont
  43 Mwe 7FBA4E339FFA       275208    5306489      5123392/24000  0 IPC Keep Alive M
  44 Hsi 7FBA4E300B42       695359   10612652      6523392/24000  0 IPC Loadometer  
  45 Mwe 7FBA4E2F721A            0          1       023408/24000  0 IPC Session Deta
  46 Mwe 7FBA4FFDB9D2            0          1       023408/24000  0 SENSOR-MGR event
  47 Hsp 7FBA500091AA        70848    5306490      1323424/24000  0 Compute SRP rate
  48 Lwe 7FBA51446892            0          1       023408/24000  0 CEF MIB API     
  49 Mwe 7FBA51D8518E            0          2       022848/24000  0 Serial Backgroun
  50 Mwe 7FBA47D64F5F            0          1       047344/48000  0 License IPC stat
  51 Mwe 7FBA47D656BC            0          1       047360/48000  0 License IPC serv
  52 Hwe 7FBA5038DC1C            0          1       023376/24000  0 Net Input       
  53 Msp 7FBA4921B748       882096   53064866      1622976/24000  0 GraphIt         
  54 Mwe 7FBA49443543            0          2       046864/48000  0 Dialer event    
  55 Lwe 7FBA4CF3CFF7           83       3771      2218464/24000  0 crypto sw pk pro
  56 Hwe 7FBA4D11BA81            0          1       022512/24000  0 IOSXE signals IO
  57 Mwe 7FBA4D4C8880            0          2       022944/24000  0 SMART           
  58 Mwe 7FBA4E50CA6A            2          4     50022096/24000  0 client_entity_se
  59 Mwe 7FBA4CA1324D            0          1       022096/24000  0 RF SCTPthread   
  60 Mwe 7FBA4CA1324D            0          1       022096/24000  0 CHKPT RG SCTPthr
  61 Mwe 7FBA51D90E09            0          1       023408/24000  0 SERIAL A'detect 
  62 Mwe 7FBA47D84910            0          2       021936/24000  0 License Client N
  63 Mwe 7FBA47D5628A            0          1       023280/24000  0 Image License br
  64 Msi 7FBA47D8B744     12684176     884214   1434519168/24000  0 Licensing Auto U
  65 Mwe 7FBA47D222D1            0          1       023344/24000  0 License HA Consi
