TCB       Local Address               Foreign Address             (state)
7FB92A9895E0  10.8.252.24.179            10.8.252.89.33313           ESTAB
7FB92B402710  10.8.252.24.179            10.8.252.71.9854            ESTAB
7FB92AB3BF50  10.8.252.24.179            10.8.252.88.55791           ESTAB
7FB92AAACC78  10.8.252.24.179            10.8.252.48.60666           ESTAB
7FB92ABB2618  10.8.252.24.179            10.8.252.65.10439           ESTAB
7FB92AE1F250  10.8.252.24.179            10.8.252.36.42179           ESTAB
7FB919CE2AC0  10.8.252.24.179            10.8.252.69.36531           ESTAB
7FB92B43C840  10.8.252.24.179            10.8.252.32.54063           ESTAB
7FB92B8DFDA0  10.8.252.24.179            10.8.252.70.36823           ESTAB
7FB92A98B348  10.8.252.24.179            10.8.252.10.23076           ESTAB
7FB92B8276D0  10.8.252.24.179            10.8.252.101.51043          ESTAB
7FB92AAB3600  10.8.252.24.179            10.8.252.47.33696           ESTAB
7FB92AC22F80  10.8.252.24.179            10.8.252.11.47667           ESTAB
7FB92AE96568  10.8.252.24.179            10.8.252.102.49409          ESTAB
7FB92ADEC480  10.8.252.24.179            10.8.252.72.12718           ESTAB
7FB92B15B690  10.8.252.24.25756          10.8.252.4.646              ESTAB
7FB92B16AEF0  10.8.252.24.179            10.8.252.15.23279           ESTAB
7FB92ABD7AB0  10.8.252.24.179            10.8.252.28.27348           ESTAB
7FB925F390B0  10.8.252.24.179            10.8.252.55.31544           ESTAB
7FB92B4627F8  10.8.252.24.179            10.8.252.84.59977           ESTAB
7FB92AA8A9C0  10.8.252.24.179            10.8.252.7.13537            ESTAB
7FB92A8C4F78  10.8.252.24.179            10.8.252.42.38086           ESTAB
7FB92ADECF88  10.8.252.24.179            10.8.252.16.41818           ESTAB
7FB92AF2CEC8  10.8.252.24.22             10.64.0.111.56334           ESTAB
7FB92AB9EBD0  10.8.252.24.179            10.8.252.52.28894           ESTAB
7FB92B828050  10.8.252.24.179            10.8.252.254.55079          ESTAB
7FB92ABB3268  10.8.252.24.179            10.8.252.64.65202           ESTAB
7FB92ADDF0F0  10.8.252.24.179            10.8.252.9.34045            ESTAB
7FB92B359C10  10.8.252.24.179            10.8.252.98.24882           ESTAB
7FB92B936F68  10.8.252.24.179            10.8.252.251.65465          ESTAB
7FB9290AC348  10.8.252.24.179            10.8.252.99.31247           ESTAB
7FB92B7605D0  10.8.252.24.179            10.8.252.81.28222           ESTAB
7FB92B0D0060  10.8.252.24.179            10.8.252.5.52285            ESTAB
7FB92B784AF0  10.8.252.24.179            10.8.252.26.31307           ESTAB
7FB919CF52B8  10.8.252.24.179            10.8.252.80.15010           ESTAB
7FB92A8C6FB0  10.8.252.24.179            10.8.252.77.40683           ESTAB
7FB92AE88A10  10.8.252.24.179            10.8.252.76.30795           ESTAB
7FB92AA3E2D8  10.8.252.24.179            10.8.252.41.28644           ESTAB
