CPU utilization for five seconds: 20%/5%; one minute: 14%; five minutes: 10%
 PID QTy       PC Runtime (ms)    Invoked   uSecs    Stacks TTY Process
   1 Cwe 413C8C54            4        217      18 5492/6000   0 Chunk Manager   
   2 Csp 42E3D3AC        10824    5907823       1 2552/3000   0 Load Meter      
   3 M*         0         3556       2703    1315 8228/12000  1 SSH Process     
   4 Mwe 41F786D8            0         63       0 5792/6000   0 Retransmission o
   5 Mwe 41F769DC            0          9       0 5428/6000   0 IPC ISSU Dispatc
   6 Mwe 42AF1CDC            0          1       0 5552/6000   0 PF Redun ICC Req
   7 Mwe 42AF1CDC            0          1       0 5548/6000   0 PF Redun ICC Req
   8 Lst 413F1198    110197996    6290605   17517 5624/6000   0 Check heaps     
   9 Cwe 413F9F28         8016       6160    1301 5504/6000   0 Pool Manager    
  10 Mst 40511358            0          2       0 5508/6000   0 Timers          
  11 Mwe 4017B148    165569348  616696854     268 2544/6000   0 ARP Input       
  12 Lwe 404F31F0            0          1       0 5780/6000   0 AAA_SERVER_DEADT
  13 Mwe 404EC864            0          2       0 5504/6000   0 AAA high-capacit
  14 Mwe 405C3130            0          1       011556/12000  0 Policy Manager  
  15 Lwe 40686044          160        265     603 4848/6000   0 Entity MIB API  
  16 Mwe 4071F000          324       3400      95 8436/9000   0 EEM ED Syslog   
  17 Mwe 4097A1B8            0          1       0 5748/6000   0 IFS Agent Manage
  18 Mwe 409C61E0         9224     492000      18 5728/6000   0 IPC Dynamic Cach
  19 Mwe 41D10ED8            0          1       0 5744/6000   0 NTI Example Proc
  20 Mwe 409C6280       168564   29519060       5 5152/6000   0 IPC Periodic Tim
  21 Mwe 409C6064         9116   29519066       0 5452/6000   0 IPC Deferred Por
  22 Mwe 409C6360            0          1       0 5620/6000   0 IPC Process leve
  23 Mwe 409C6574    226737004 2326910758      97 3784/6000   0 IPC Seat Manager
  24 Mwe 409C6920            0          1       0 5608/6000   0 IPC Session Serv
  25 Mwe 409C8BF4            0          1       0 5452/6000   0 IPC Stdby Update
  26 Mwe 409C8BF4            0          1       0 5556/6000   0 IPC Session Deta
  27 Hsp 41C6AC88          300    2953946       0 5748/6000   0 Compute SRP rate
  28 Mwe 41DF6308            0          2       0 5500/6000   0 DDR Timers      
  29 Mwe 41E132F4            0          2       011516/12000  0 Dialer event    
  30 Mwe 41F51250            0          1       0 5588/6000   0 ifIndex Receive 
  31 Mwe 420DCB28            0          2       0 5508/6000   0 Serial Backgroun
  32 Mwe 423D8A1C            0          1       023492/24000  0 Crash writer    
  33 Msi 42653D84      2981752   21626666     137 4028/6000   0 EnvMon          
  34 Mwe 41F77558            0          1       0 5568/6000   0 IPC ISSU Version
  35 Msp 405746AC        27752   29519025       0 5556/6000   0 GraphIt         
  36 Hwe 4104F3E0          124       1052     117 4380/6000   0 rf proxy rp agen
  37 Hwe 4104F290            0          3       0 5480/6000   0 rf proxy message
  38 Mwe 41FAC488            4          3    1333 4960/6000   0 client_entity_se
  39 Mwe 420E4AE0            0          1       0 5600/6000   0 SERIAL A'detect 
  40 Hwe 405757DC            0          1       0 8792/9000   0 Connection Mgr  
  41 Mwe 4243AA00            4          2    2000 4524/6000   0 Snmp ICC Process
  42 Mwe 42434CB8           24        226     106 4320/6000   0 Cat6k SNMP      
  43 Mwe 42437B64           28        162     172 5360/6000   0 Cat6k SNMP Trap 
  44 Mwe 42DE41E4            0          1       0 5596/6000   0 ARP Snoop       
  45 Mwe 42DE9710        13920   29519058       0 5696/6000   0 Dynamic ARP Insp
  46 Cwe 413FCA44            0          1       0 5604/6000   0 Critical Bkgnd  
  47 Mwe 423EF398       106372    3113939      34 9840/12000  0 Net Background  
  48 Mwe 423EF5CC            0          3       011480/12000  0 IDB Work        
  49 Lwe 405AB7B8          108       5281      2010596/12000  0 Logger          
  50 Mwe 4051945C        17240   29519035       0 7680/9000   0 TTY Background  
  51 Msp 405B4888       426156   29616238      14 4648/6000   0 Per-Second Jobs 
  52 Msp 405B48B0     20516552     597240   34352 5496/6000   0 Per-minute Jobs 
  53 Mwe 422D560C           20        347      57 5072/6000   0 Cat6k NTI ICC pr
  54 Mwe 4095A8A4           68        412     165 5108/6000   0 IF-MGR control p
  55 Mwe 40965630            8        202      39 5432/6000   0 IF-MGR event pro
  56 Mwe 422FD484           88        864     101 4636/6000   0 Env action      
  57 Mwe 42789234            0          2       0 5520/6000   0 Flash ICC Server
  58 Mwe 428438E4            8      49233       0 5544/6000   0 foundation      
  59 Hwe 428E96C4            0          1       0 2572/3000   0 VS Redirect EOBC
  60 Hwe 428E9478            0          1       011588/12000  0 VSIBC process   
  61 Hwe 4291F19C           16         37     432 5164/6000   0 ICC Nego        
  62 Mwe 42946588            8      49241       0 5540/6000   0 itasca          
  63 Hwe 42A00D04           28         43     651 5488/6000   0 EOBC Monitor Pro
  64 Hwe 42404C6C      2161384  109227346      19 5584/6000   0 Net Input       
  65 Mwe 42A88D90           60         40    1500 3380/6000   0 draco-oir-proces
  67 Mwe 42ABD06C            0          2       0 5524/6000   0 FWSM Process    
  68 Mwe 42ABBBE8            0          1       0 8476/9000   0 K+ RED MAMBA  pr
  69 Mwe 42ABBAA4            0          1       0 8580/9000   0 K+ RED MAMBA Adj
  70 Mwe 42ACFA74            0          9       0 4928/6000   0 MWAM CONFIG ON S
