
        OSPF Router with ID (10.8.252.2) (Process ID 1 VRF default)

                Router Link States (Area 0.0.0.0)

Link ID         ADV Router      Age        Seq#       Checksum Link Count
10.8.252.1      10.8.252.1      174        0x800001e5 0x069a   54  
10.8.252.2      10.8.252.2      172        0x8000038e 0x666b   54  
10.8.252.3      10.8.252.3      470        0x8002bd8e 0xfbe8   42  
10.8.252.4      10.8.252.4      1630       0x8002e941 0x4cb2   42  
10.8.252.5      10.8.252.5      157        0x800172cd 0x86a2   2   
10.8.252.6      10.8.252.6      964        0x8001806e 0x2f47   2   
10.8.252.7      10.8.252.7      479        0x8000678a 0x2414   7   
10.8.252.8      10.8.252.8      1403       0x8000677c 0x62d0   7   
10.8.252.9      10.8.252.9      1600       0x800147fc 0x5a91   16  
10.8.252.10     10.8.252.10     401        0x80014a90 0xece9   16  
10.8.252.11     10.8.252.11     645        0x8002ebbc 0xff95   8   
10.8.252.12     10.8.252.12     329        0x8002b218 0xf16d   8   
10.8.252.13     10.8.252.13     1214       0x80000f4a 0xea25   7   
10.8.252.14     10.8.252.14     1508       0x80000f5a 0xecff   7   
10.8.252.15     10.8.252.15     314        0x80006ed3 0xae57   7   
10.8.252.16     10.8.252.16     1400       0x80006ecc 0xde1b   7   
10.8.252.23     10.8.252.23     705        0x800065fe 0x5128   5   
10.8.252.24     10.8.252.24     1100       0x8000671a 0x9c75   5   
10.8.252.25     10.8.252.25     1433       0x80003967 0xbecc   2   
10.8.252.26     10.8.252.26     79         0x800294db 0xcfe5   2   
10.8.252.27     10.8.252.27     657        0x800260f2 0xf8fa   2   
10.8.252.28     10.8.252.28     1081       0x8001ef68 0x7774   2   
10.8.252.31     10.8.252.31     401        0x80021839 0x863e   2   
10.8.252.32     10.8.252.32     644        0x80021853 0x6640   2   
10.8.252.36     10.8.252.36     859        0x800128f2 0x275d   5   
10.8.252.37     10.8.252.37     953        0x80012a43 0x61bb   5   
10.8.252.41     10.8.252.41     348        0x8000d363 0x23d0   7   
10.8.252.42     10.8.252.42     1027       0x8000cc50 0xc434   7   
10.8.252.47     10.8.252.47     753        0x8000c8f3 0x8c71   7   
10.8.252.48     10.8.252.48     32         0x8000c9bb 0x1c06   7   
10.8.252.49     10.8.252.49     1562       0x80020686 0xdb95   23  
10.8.252.50     10.8.252.50     1541       0x8002116f 0xbd4b   23  
10.8.252.51     10.8.252.51     418        0x80020544 0x23bd   7   
10.8.252.52     10.8.252.52     1002       0x80021ffb 0x06f5   7   
10.8.252.55     10.8.252.55     1051       0x8000551a 0x90ac   13  
10.8.252.56     10.8.252.56     24         0x8001325a 0xe617   13  
10.8.252.58     10.8.252.58     241        0x8001447d 0x9c92   12  
10.8.252.59     10.8.252.59     186        0x8000a626 0x3ac6   12  
10.8.252.60     10.8.252.60     71         0x8000f1c2 0x101b   5   
10.8.252.61     10.8.252.61     74         0x80006f75 0xb520   5   
10.8.252.62     10.8.252.62     1568       0x80011535 0xc73f   15  
10.8.252.63     10.8.252.63     48         0x8000de9a 0x4043   15  
10.8.252.64     10.8.252.64     633        0x8001459b 0x51fe   7   
10.8.252.65     10.8.252.65     339        0x8000de7f 0xac14   7   
10.8.252.66     10.8.252.66     1943       0x800117ed 0xe77a   5   
10.8.252.67     10.8.252.67     1032       0x8000dad0 0x3b29   39  
10.8.252.68     10.8.252.68     907        0x800003fd 0xf73b   39  
10.8.252.69     10.8.252.69     473        0x8000f849 0xffd1   7   
10.8.252.70     10.8.252.70     468        0x8000f671 0xddba   7   
10.8.252.71     10.8.252.71     466        0x8000db8b 0xbc69   7   
10.8.252.72     10.8.252.72     457        0x8000db8d 0xd43c   7   
10.8.252.73     10.8.252.73     558        0x8000c679 0x1b2d   7   
10.8.252.74     10.8.252.74     1607       0x8000c6b0 0xcc1e   7   
10.8.252.75     10.8.252.75     1748       0x8000c59d 0xbd3c   7   
10.8.252.76     10.8.252.76     1379       0x8000c59b 0xe305   7   
