

CPU utilization for five seconds: 9%/0%; one minute: 5%; five minutes: 3%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1        17220    310691      0   0.00%   0.00%  0.00%   -    init
 2040            0         1      0   0.00%   0.00%  0.00%   -    raid_monitor
 2711            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 5788            0        33      0   0.00%   0.00%  0.00%   -    portmap
 5791            0         7      0   0.00%   0.00%  0.00%   -    rpc.statd
 5811            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 5824      1857730  33749023      0   0.03%   0.01%  0.01%   -    sysmgr
 6419           40       104      0   0.00%   0.00%  0.00%   -    xinetd
 6420           60       151      0   0.00%   0.00%  0.00%   -    tftpd
 6421        83960   1553810      0   0.00%   0.00%  0.00%   -    syslogd
 6422          540       102      5   0.00%   0.00%  0.00%   -    sdwrapd
 6423         6800      1119      6   0.00%   0.00%  0.00%   -    pfm_dummy
 6424     42388420  12992254      3   0.62%   1.02%  0.59%   -    platform
 6492      2383950    540044      4   0.00%   0.01%  0.01%   -    cmond
 6504        10770    198800      0   0.00%   0.00%  0.00%   -    vshd
 6505        13990    311040      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 6506          470        29     16   0.00%   0.00%  0.00%   -    smm
 6507        14190    310764      0   0.00%   0.00%  0.00%   -    session-mgr
 6508        47250   1552187      0   0.00%   0.00%  0.00%   -    psshelper
 6509        15670    312525      0   0.00%   0.00%  0.00%   -    pixm_vl
 6510        14640    311001      0   0.00%   0.00%  0.00%   -    pixm_gl
 6511          470        39     12   0.01%   0.00%  0.00%   -    pdsd
 6512         1780     26218      0   0.00%   0.00%  0.00%   -    mmode
 6513        14100    336147      0   0.00%   0.00%  0.00%   -    lmgrd
 6514        17850    313972      0   0.00%   0.00%  0.00%   -    licmgr
 6515       481550   1004491      0   0.00%   0.04%  0.01%   -    fs-daemon
 6516        51110   1125881      0   0.00%   0.00%  0.00%   -    feature-mgr
 6517          740      3633      0   0.00%   0.00%  0.00%   -    confcheck
 6518         7260    155703      0   0.00%   0.00%  0.00%   -    capability
 6519         8360    259310      0   0.00%   0.00%  0.00%   -    bloggerd
 6520        47360   1551973      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 6527        35340   1551611      0   0.00%   0.00%  0.00%   -    cisco
 6545           40       179      0   0.00%   0.00%  0.00%   -    klogd
 6587        60940    233285      0   0.00%   0.00%  0.00%   -    clis
 6612         5580     67877      0   0.00%   0.00%  0.00%   -    port-profile
 6624            0       152      0   0.00%   0.00%  0.00%   -    dhcpd
 6628        14970    310755      0   0.00%   0.00%  0.00%   -    xmpp
 6629        22370    517588      0   0.00%   0.00%  0.00%   -    xmlma
 6631        14090    310792      0   0.00%   0.00%  0.00%   -    vmm
 6632        12560    194476      0   0.00%   0.00%  0.00%   -    vman
 6633        15280    311551      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6634        33080    310684      0   0.00%   0.00%  0.00%   -    usbhsd
 6635        26360    776521      0   0.00%   0.00%  0.00%   -    ttyd
 6636       557130  21924780      0   0.07%   0.10%  0.10%   -    sysinfo
 6637        14480    310811      0   0.00%   0.00%  0.00%   -    statsprofiler
 6638        14680    270129      0   0.00%   0.01%  0.00%   -    snmpmib_proc
 6639        49950   1551985      0   0.00%   0.00%  0.00%   -    sksd
 6641        21400    339194      0   0.00%   0.00%  0.00%   -    rtd_monitor
 6642         2420     31055      0   0.00%   0.00%  0.00%   -    res_mgr
 6643        46730   1553673      0   0.00%   0.00%  0.00%   -    plugin
 6644        12890    314234      0   0.00%   0.00%  0.00%   -    plog_sup
 6645         2500     53139      0   0.00%   0.00%  0.00%   -    patch-installer
 6646         5460    103879      0   0.00%   0.00%  0.00%   -    mvsh
 6647           40        37      1   0.00%   0.00%  0.00%   -    mping_server
 6648          920       105      8   0.00%   0.00%  0.00%   -    fw_app
 6649         7950    199474      0   0.00%   0.00%  0.00%   -    fmd
