

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 20
Address         Age       MAC Address     Interface
10.8.2.162      00:01:28  80e0.1d88.f041  port-channel5   
10.8.255.42     00:00:08  8478.ac09.f6c1  port-channel12  
10.8.255.45     00:04:47  4055.390e.1141  Ethernet1/2     
10.8.2.2        00:11:05  881d.fcbb.ae00  Ethernet1/3     
10.8.2.98       00:16:32  002a.1077.e840  Ethernet1/4     
10.8.2.82       00:10:59  0019.a906.1000  Ethernet1/5     
10.8.2.178      00:13:56  94bf.9466.3b03  Ethernet1/6     
10.8.255.82     00:12:36  8478.ac1f.6441  Ethernet1/7     
10.8.255.154    00:00:20  d867.d970.7a41  Ethernet1/8     
10.8.2.66       00:00:51  001f.9e12.2640  Ethernet1/9     
10.8.2.114      00:10:50  0017.dfd2.4400  Ethernet1/10    
10.8.255.122    00:11:23  80e0.1d89.fbc1  Ethernet1/11    
10.8.2.170      00:02:34  706b.b99a.2dfc  Ethernet1/13    
10.8.255.53     00:12:46  d867.d90d.5b41  Ethernet2/2     
10.8.2.102      00:00:22  286f.7f68.a400  Ethernet2/4     
10.8.2.86       00:12:23  0019.a914.e400  Ethernet2/5     
10.8.2.154      00:13:32  d8b1.90dd.2d00  Ethernet2/6     
10.8.255.86     00:05:32  8478.ac1d.ed41  Ethernet2/7     
10.8.255.158    00:06:01  d867.d970.8641  Ethernet2/8     
10.8.2.70       00:01:03  001f.9e43.7400  Ethernet2/9     
