
 OSPF Process ID 1 VRF default
 Total number of neighbors: 11
 Neighbor ID     Pri State            Up Time  Address         Interface
 10.8.252.4        1 FULL/ -          1y34w    10.8.255.89     Eth4/1 
 10.8.252.2        1 FULL/ -          2w3d     10.8.255.109    Eth4/2 
 10.8.252.3        1 FULL/ -          39w1d    10.8.255.81     Eth3/1 
 10.8.252.1        1 FULL/ -          1w1d     10.8.255.101    Eth3/2 
 10.8.252.66       1 FULL/ -          4y30w    10.8.10.38      Eth3/6 
 10.8.252.88       1 FULL/ -          1y47w    10.8.10.66      Eth3/7 
 10.8.252.86       1 FULL/ -          2y6w     10.8.10.46      Po9 
 10.8.252.50       1 FULL/ -          4y4w     10.8.255.98     Po12 
 10.8.252.51       1 FULL/ -          4y43w    10.8.10.18      Po13 
 10.8.252.52       1 FULL/ -          4y4w     10.8.10.22      Po14 
 10.8.252.87       1 FULL/ -          2y6w     10.8.10.50      Po10 
