

CPU utilization for five seconds: 6%/0%; one minute: 4%; five minutes: 3%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       466490  10483508      0   0.00%   0.00%  0.00%   -    init
 2017            0         1      0   0.00%   0.00%  0.00%   -    raid_monitor
 2673            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 5578            0        37      0   0.00%   0.00%  0.00%   -    portmap
 5589            0         7      0   0.00%   0.00%  0.00%   -    rpc.statd
 5593            0         3      0   0.00%   0.00%  0.00%   -    rpc.idmapd
 5611            0         5      0   0.00%   0.00%  0.00%   -    rpc.mountd
 5624     22372330  406130685      0   0.01%   0.00%  0.00%   -    sysmgr
 6686           20        67      0   0.00%   0.00%  0.00%   -    xinetd
 6687           30       160      0   0.00%   0.00%  0.00%   -    tftpd
 6688      2649510  69076975      0   0.00%   0.00%  0.00%   -    syslogd
 6689          160       379      0   0.00%   0.00%  0.00%   -    sdwrapd
 6690          110       319      0   0.00%   0.00%  0.00%   -    pfm_dummy
 6694   1321576000  306799551      4   0.23%   0.81%  0.48%   -    platform
 6761     26149920  20668642      1   0.00%   0.00%  0.00%   -    cmond
 7194           20       199      0   0.00%   0.00%  0.00%   -    klogd
 7279       284690   6731906      0   0.00%   0.00%  0.00%   -    vshd
 7280       413050  10497226      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 7281           40   1939939      0   0.00%   0.00%  0.00%   -    smm
 7283       407450  10496212      0   0.00%   0.00%  0.00%   -    session-mgr
 7284      1510510  52415695      0   0.00%   0.00%  0.00%   -    psshelper
 7285       417820  10497040      0   0.00%   0.00%  0.00%   -    pixm_vl
 7286       430630  10496388      0   0.00%   0.00%  0.00%   -    pixm_gl
 7287           50  162089527      0   0.01%   0.00%  0.00%   -    pdsd
 7288        35230    882321      0   0.00%   0.00%  0.00%   -    mmode
 7289        62170    875940      0   0.00%   0.00%  0.00%   -    lmgrd
 7290       378220  10580889      0   0.00%   0.00%  0.00%   -    licmgr
 7291      9456720  15658541      0   0.00%   0.04%  0.01%   -    fs-daemon
 7292      1308890  34059102      0   0.00%   0.00%  0.00%   -    feature-mgr
 7293         3450     67878      0   0.00%   0.00%  0.00%   -    confcheck
 7294       194030   5252177      0   0.00%   0.00%  0.00%   -    capability
 7295       186690  21043196      0   0.00%   0.00%  0.00%   -    bloggerd
 7296      1504730  52415163      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 7315        92240    876322      0   0.00%   0.00%  0.00%   -    cisco
 7316       826470   6246812      0   0.00%   0.00%  0.00%   -    clis
 7334       106430   2282069      0   0.00%   0.00%  0.00%   -    port-profile
 7376       649680  17484730      0   0.00%   0.00%  0.00%   -    xmlma
 7377       404320  10488794      0   0.00%   0.00%  0.00%   -    vmm
 7378       405310   6569954      0   0.00%   0.00%  0.00%   -    vman
 7379       412300  10519109      0   0.00%   0.00%  0.00%   -    vdc_mgr
 7380      1010280  10509303      0   0.00%   0.00%  0.00%   -    usbhsd
 7382       763310  26229209      0   0.00%   0.00%  0.00%   -    ttyd
 7383      7850370  1316147186      0   0.05%   0.08%  0.08%   -    sysinfo
 7384       413490  10495666      0   0.00%   0.00%  0.00%   -    statsprofiler
 7385      1350450  52417932      0   0.00%   0.00%  0.00%   -    sksd
 7387        33270   1036955      0   0.00%   0.00%  0.00%   -    res_mgr
 7388      1383810  52471541      0   0.00%   0.00%  0.00%   -    plugin
 7389       409160  10496943      0   0.00%   0.00%  0.00%   -    pltfm_debug
 7390      1954980  24240269      0   0.00%   0.00%  0.00%   -    plog_sup
 7391        57570   1777125      0   0.00%   0.00%  0.00%   -    patch-installer
 7392       137500   3506412      0   0.00%   0.00%  0.00%   -    mvsh
 7393           30       332      0   0.00%   0.00%  0.00%   -    mping_server
 7394          200       349      0   0.00%   0.00%  0.00%   -    fw_app
 7395       134720   3506724      0   0.00%   0.00%  0.00%   -    evms
 7397       101860   2631694      0   0.00%   0.00%  0.00%   -    evmc
 7398          150       345      0   0.00%   0.00%  0.00%   -    epld_upgrade_stdby
 7399         1700      7572      0   0.00%   0.00%  0.00%   -    epld_auto
 7400     34551830  79778105      0   0.00%   0.00%  0.00%   -    diagmgr
 7401       118040   2683365      0   0.00%   0.00%  0.00%   -    crdcfg_server
 7402          180       373      0   0.00%   0.00%  0.00%   -    core-dmon
 7403      3664820  39814056      0   0.00%   0.00%  0.00%   -    clk_mgr
 7404       395810  10496440      0   0.00%   0.00%  0.00%   -    cli_acl
 7405       292260  10492183      0   0.00%   0.00%  0.00%   -    bios_daemon
 7406       262450   6577747      0   0.00%   0.00%  0.00%   -    ascii-cfg
 7407      1466370  52556045      0   0.00%   0.00%  0.00%   -    securityd
 7408      1435580  53015825      0   0.00%   0.00%  0.00%   -    cert_enroll
 7409      1377490  52804127      0   0.00%   0.00%  0.00%   -    aaa
 7411       194840   6564572      0   0.00%   0.00%  0.00%   -    obfl
 7435           50   1939112      0   0.00%   0.00%  0.00%   -    l3vm
 7436           40  93637415      0   0.00%   0.00%  0.00%   -    urib
 7487     23976730  24433270      0   0.00%   0.00%  0.00%   -    diagclient
 7530   4154100926   4044025   1027   0.00%   0.00%  0.00%   -    xbar
 7531      3128920  72449071      0   0.00%   0.00%  0.00%   -    device_test
 7532      8465600  73797069      0   0.00%   0.00%  0.00%   -    module
 7543      5483060  52443203      0   0.00%   0.00%  0.00%   -    aclmgr
 7544          160       369      0   0.00%   0.00%  0.00%   -    ExceptionLog
 7545       783730  26584204      0   0.00%   0.00%  0.00%   -    bootvar
 7546    181355710  10610308     17   0.00%   0.00%  0.00%   -    cardclient
 7547      4581580  47241393      0   0.00%   0.00%  0.00%   -    ifmgr
 7560       398590  10488396      0   0.00%   0.00%  0.00%   -    clp_elam
 7561     31360970  363705945      0   0.00%   0.00%  0.00%   -    clp_fwd
 7562     45334140  878657934      0   0.00%   0.00%  0.01%   -    clp_l3
 7563    552680860  559527687      0   0.15%   0.12%  0.12%   -    clp_mac
 7564    321486250  46484492      6   0.03%   0.05%  0.06%   -    clp_xbar
 7565     68115300  66259748      1   0.00%   0.01%  0.01%   -    lit
 7566     63975060  93278687      0   0.00%   0.01%  0.01%   -    sac_usd
 7567   4153985616  68978897     60   0.00%   0.00%  0.00%   -    sensor
 7568     18529450  51527864      0   0.00%   0.00%  0.00%   -    xbar_driver_usd
 7641       401260  10496362      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 7867           50  2622051492      0   0.00%   0.01%  0.01%   -    adjmgr
 7868       395560  10496489      0   0.00%   0.00%  0.00%   -    ncpinframgr
 7869           40  11352654      0   0.00%   0.00%  0.00%   -    u6rib
 7898           70  25034856      0   0.00%   0.00%  0.00%   -    npacl
 7918           80  58410429      0   0.00%   0.00%  0.00%   -    arp
 7919           50   4901111      0   0.00%   0.00%  0.00%   -    icmpv6
 7920           70  1359347072      0   0.23%   0.10%  0.08%   -    pktmgr
 7944           90  3869049606      0   0.41%   0.13%  0.11%   -    netstack
 8019      2634990  52449049      0   0.00%   0.00%  0.00%   -    radius
 8020      3869620  33965194      0   0.00%   0.00%  0.00%   -    cdp
 8021       610400  12244900      0   0.00%   0.00%  0.00%   -    cfs
 8022           20       314      0   0.00%   0.00%  0.00%   -    ip_dummy
 8023           20       314      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 8024       662410   7515507      0   0.00%   0.00%  0.00%   -    ntp
 8025       415490  10497431      0   0.00%   0.00%  0.00%   -    otm
 8026   1318662970  1346204687      0   0.31%   0.58%  0.48%   -    snmpd
 8040      1536770  54223791      0   0.00%   0.00%  0.00%   -    callhome
 8044      4358970  60131133      0   0.01%   0.00%  0.00%   -    tacacs
 8313            0         5      0   0.00%   0.00%  0.00%   -    tftp_aa
 8314       444510  10497788      0   0.00%   0.00%  0.00%   -    sim
 8315           80  54934525      0   0.00%   0.00%  0.00%   -    rpm
 8316      2791930  23448174      0   0.00%   0.00%  0.00%   -    pltfm_config
 8317       404930  10497219      0   0.00%   0.00%  0.00%   -    plsm
 8318      4174310  47171439      0   0.00%   0.00%  0.00%   -    plcmgr
 8319       413280  10488752      0   0.00%   0.00%  0.00%   -    pixmc
 8320    102815960  816022414      0   0.03%   0.02%  0.02%   -    pfstat
 8322       411120  10488638      0   0.00%   0.00%  0.00%   -    monitorc
 8323       666300  12576921      0   0.00%   0.00%  0.00%   -    lim
 8324      3111850  56835203      0   0.00%   0.00%  0.00%   -    l2rib
 8325          100   6871446      0   0.00%   0.00%  0.00%   -    igmp
 8326       471280  10499762      0   0.00%   0.00%  0.00%   -    giscm
 8327       145410   3508509      0   0.00%   0.00%  0.00%   -    eltm
 8329        69940   3506362      0   0.00%   0.00%  0.00%   -    adbm
 8330       162360   2608005      0   0.00%   0.00%  0.00%   -    acllog
 8350       444580  10498826      0   0.00%   0.00%  0.00%   -    iscm
 8377       749590  11032858      0   0.00%   0.00%  0.00%   -    monitor
 8416       707040   9388399      0   0.00%   0.00%  0.00%   -    eth_port_channel
 8417       341660   5942252      0   0.00%   0.00%  0.00%   -    vlan_mgr
 8422      5367220  120078372      0   0.00%   0.00%  0.00%   -    eth_dstats
 8423     83552000  540064259      0   0.01%   0.01%  0.02%   -    ipqosmgr
 8424      1940600  11538285      0   0.00%   0.00%  0.00%   -    lacp
 8425   1646988626  1164946705      1   0.00%   0.00%  0.00%   -    diag_port_lb
 8426    393145340  2236391769      0   0.31%   0.10%  0.09%   -    ethpm
 8427       271540   5355654      0   0.00%   0.00%  0.00%   -    l2fm
 8433          240      1549      0   0.15%   0.01%  0.00%   -    dcos_sshd
 8436      1947070  23862362      0   0.00%   0.00%  0.00%   -    aclqos
 8441          180      1136      0   0.09%   0.01%  0.00%   0    vsh
 8457      8825400  273380305      0   0.00%   0.00%  0.00%   -    stp
 8483      6400770  43085521      0   0.00%   0.00%  0.00%   -    copp
 8527     84326530  127169081      0   0.00%   0.01%  0.01%   -    udld
 8528       195640   5245351      0   0.00%   0.00%  0.00%   -    u2
 8529      4381930  36303784      0   0.00%   0.00%  0.00%   -    spm
 8530       414950  10497391      0   0.00%   0.00%  0.00%   -    sal
 8531           80  37946940      0   0.00%   0.00%  0.00%   -    oim
 8532           90  132585555      0   0.00%   0.00%  0.00%   -    mrib
 8533       863610   9033103      0   0.00%   0.00%  0.00%   -    mfdm
 8534       424120  10494845      0   0.00%   0.00%  0.00%   -    mcm
 8535           90  180809117      0   0.00%   0.00%  0.00%   -    m6rib
 8536       438640  10497906      0   0.00%   0.00%  0.00%   -    l2pt
 8538      7318800  43480965      0   0.00%   0.00%  0.00%   -    dot1x
 8543          100  4261902297      0   0.09%   0.05%  0.05%   -    ospf
 8547           90   1981064      0   0.00%   0.00%  0.00%   -    mcastfwd
 8572       828710  13156273      0   0.00%   0.00%  0.00%   -    ufdm
 8592       128710   2633349      0   0.00%   0.00%  0.00%   -    m2rib
 8610     16252280  92173829      0   0.00%   0.00%  0.00%   -    cts
 8648           80  700258698      0   0.00%   0.01%  0.01%   -    ulib
 8649           70  35961172      0   0.00%   0.00%  0.00%   -    rsvp
 8650          100  27486926      0   0.00%   0.00%  0.00%   -    mpls_te
 8651           80  10909213      0   0.00%   0.00%  0.00%   -    mpls_oam
 8652           80  837902561      0   0.00%   0.01%  0.01%   -    mpls
 8653          100  3092938498      0   0.05%   0.03%  0.03%   -    ldp
 8717       111470   5245438      0   0.00%   0.00%  0.00%   -    port_client
 8718   4153350836  143784156     28   0.00%   0.00%  0.00%   -    statsclient
 8719   4151273256   4372489    949   0.00%   0.00%  0.00%   -    xbar_client
 8947      3831220  59730255      0   0.00%   0.00%  0.00%   -    ntpd
 8987            0        86      0   0.00%   0.00%  0.00%   -    dhcpd
 8993      1435100  52413210      0   0.00%   0.00%  0.00%   2    vsh
 8994      1447160  52413543      0   0.00%   0.00%  0.00%   3    vsh
 9005       428870  10496265      0   0.00%   0.00%  0.00%   -    xmpp
 9006           20       310      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 9007       277610   6964651      0   0.00%   0.00%  0.00%   -    snmpmib_proc
 9008       351570  10493391      0   0.00%   0.00%  0.00%   -    fscm
 9009           90  946788128      0   0.03%   0.02%  0.02%   -    ecp
 9031         5650     44659      0   0.00%   0.00%  0.00%   -    dcos-xinetd
11092            0        21      0   0.00%   0.00%  0.00%   S0    getty
11093            0         5      0   0.00%   0.00%  0.00%   -    sh
11097            0        34      0   0.00%   0.00%  0.00%   -    libvirtd
