

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 11
Address         Age       MAC Address     Interface
10.8.255.85     00:05:31  4055.390d.eb41  Ethernet3/1     
10.8.255.105    00:04:41  4055.390e.1141  Ethernet3/2     
10.8.10.42      00:04:08  0023.5ed9.2f80  Ethernet3/6     
10.8.255.93     00:08:22  8478.ac09.f6c1  Ethernet4/1     
10.8.255.113    00:12:42  d867.d90d.5b41  Ethernet4/2     
10.8.10.70      00:04:17  b4a8.b949.7947  Ethernet4/7     
10.8.255.97     00:09:34  8478.ac1f.6441  port-channel21  
10.8.10.26      00:07:01  8478.ac1f.6442  port-channel23  
10.8.10.30      00:01:21  8478.ac1d.ed42  port-channel24  
10.8.10.54      00:16:44  8478.ac1f.6443  port-channel9   
10.8.10.58      00:13:26  8478.ac1d.ed43  port-channel10  
