
 Note: MAC table entries displayed are getting read from software.
 Use the 'hardware-age' keyword to get information related to 'Age' 

 Legend: 
        * - primary entry, G - Gateway MAC, (R) - Routed MAC, O - Overlay MAC
        age - seconds since last seen,+ - primary entry using vPC Peer-Link,
        (T) - True, (F) - False ,  ~~~ - use 'hardware-age' keyword to retrieve age info 
   VLAN     MAC Address      Type      age     Secure NTFY Ports/SWID.SSID.LID
---------+-----------------+--------+---------+------+----+------------------
* 503      8cb6.4f9d.d760    dynamic     ~~~      F    F  Eth102/1/48
* 551      0023.e9ee.7786    dynamic     ~~~      F    F  Po61
* 551      0023.e9ee.7846    dynamic     ~~~      F    F  Po62
* 551      0223.e9ee.7784    dynamic     ~~~      F    F  Po61
* 583      506b.8dba.6f8a    dynamic     ~~~      F    F  Po71
* 583      506b.8dc0.d26d    dynamic     ~~~      F    F  Po71
* 583      506b.8dd4.a62f    dynamic     ~~~      F    F  Po71
* 583      506b.8de2.4011    dynamic     ~~~      F    F  Po71
* 586      0021.5a9b.11dc    dynamic     ~~~      F    F  Eth6/18
* 586      0021.5a9b.11e0    dynamic     ~~~      F    F  Eth6/18
* 586      0021.5a9b.11e4    dynamic     ~~~      F    F  Eth5/17
* 586      0021.5a9b.11e6    dynamic     ~~~      F    F  Eth5/17
* 586      0023.e9ee.7787    dynamic     ~~~      F    F  Po61
* 586      0023.e9ee.7847    dynamic     ~~~      F    F  Po62
* 586      0050.5600.8f5b    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.08ad    dynamic     ~~~      F    F  Eth5/17
* 586      0050.56b7.09ae    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.0c4e    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.0ebe    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.11db    dynamic     ~~~      F    F  Eth5/16
* 586      0050.56b7.1335    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.19ef    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.1d54    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.1f5f    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.223f    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.2e7e    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.30d9    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.31b8    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.329d    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.42c4    dynamic     ~~~      F    F  Eth5/16
* 586      0050.56b7.43df    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.462d    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.4abb    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.4b55    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.4b83    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.4f2a    dynamic     ~~~      F    F  Eth5/17
* 586      0050.56b7.55a3    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.55d5    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.5ab7    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.5fdc    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.659e    dynamic     ~~~      F    F  Eth5/19
* 586      0050.56b7.6875    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.6b5a    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.6b91    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.6bd9    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.6f55    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.70b0    dynamic     ~~~      F    F  Eth5/16
* 586      0050.56b7.72c4    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.7ae6    dynamic     ~~~      F    F  Eth5/17
* 586      0050.56b7.7e96    dynamic     ~~~      F    F  Eth5/19
* 586      0050.56b7.85b6    dynamic     ~~~      F    F  Eth5/17
* 586      0050.56b7.890c    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.89ce    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.8ad9    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.95d3    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.9eb2    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.a592    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.acfe    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.aec0    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.b9b7    dynamic     ~~~      F    F  Eth5/17
* 586      0050.56b7.bcdf    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.bf14    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.bf46    dynamic     ~~~      F    F  Eth5/30
* 586      0050.56b7.cb53    dynamic     ~~~      F    F  Eth5/17
* 586      0050.56b7.cd1a    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.d305    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.d5bc    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.dae9    dynamic     ~~~      F    F  Eth5/31
* 586      0050.56b7.db6a    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.e3c1    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.ea57    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.ecf1    dynamic     ~~~      F    F  Eth6/19
* 586      0050.56b7.f565    dynamic     ~~~      F    F  Eth5/29
* 586      0050.56b7.f95f    dynamic     ~~~      F    F  Eth5/20
* 586      0050.56b7.fe7b    dynamic     ~~~      F    F  Eth5/31
* 586      0223.e9ee.7784    dynamic     ~~~      F    F  Po61
* 586      506b.8d01.9f26    dynamic     ~~~      F    F  Po71
* 586      506b.8d02.094b    dynamic     ~~~      F    F  Po71
* 586      506b.8d12.f67a    dynamic     ~~~      F    F  Po71
* 586      506b.8d18.10c1    dynamic     ~~~      F    F  Po71
* 586      506b.8d1a.2782    dynamic     ~~~      F    F  Po71
* 586      506b.8d29.837e    dynamic     ~~~      F    F  Po71
* 586      506b.8d31.ac51    dynamic     ~~~      F    F  Po71
* 586      506b.8d3c.f3a8    dynamic     ~~~      F    F  Po71
* 586      506b.8d42.1960    dynamic     ~~~      F    F  Po71
* 586      506b.8d42.a59e    dynamic     ~~~      F    F  Po71
* 586      506b.8d49.a315    dynamic     ~~~      F    F  Po71
* 586      506b.8d4c.20b2    dynamic     ~~~      F    F  Po71
