

CPU utilization for five seconds: 4%/0%; one minute: 6%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       833110  26184144      0   0.00%   0.00%  0.00%   -    init
    2           30      2193      0   0.00%   0.00%  0.00%   -    kthreadd
    3         3530    382691      0   0.00%   0.00%  0.00%   -    migration/0
    4     15991880  1044843057      0   0.00%   0.00%  0.00%   -    ksoftirqd/0
    5            0         2      0   0.00%   0.00%  0.00%   -    watchdog/0
    6         7570    826345      0   0.00%   0.00%  0.00%   -    migration/1
    7      1218710  85101865      0   0.00%   0.00%  0.00%   -    ksoftirqd/1
    8            0         2      0   0.00%   0.00%  0.00%   -    watchdog/1
    9         5020    508581      0   0.00%   0.00%  0.00%   -    migration/2
   10      4076230  397975548      0   0.00%   0.00%  0.00%   -    ksoftirqd/2
   11            0         2      0   0.00%   0.00%  0.00%   -    watchdog/2
   12         4950    446062      0   0.00%   0.00%  0.00%   -    migration/3
   13      1089600  86957278      0   0.00%   0.00%  0.00%   -    ksoftirqd/3
   14            0         4      0   0.00%   0.00%  0.00%   -    watchdog/3
   15         5750    641700      0   0.00%   0.00%  0.00%   -    migration/4
   16      1266640  78558143      0   0.00%   0.00%  0.00%   -    ksoftirqd/4
   17            0         2      0   0.00%   0.00%  0.00%   -    watchdog/4
   18         7190    938537      0   0.00%   0.00%  0.00%   -    migration/5
   19      1182460  76267417      0   0.00%   0.00%  0.00%   -    ksoftirqd/5
   20            0         3      0   0.00%   0.00%  0.00%   -    watchdog/5
   21         5040    720679      0   0.00%   0.00%  0.00%   -    migration/6
   22      1271110  99243568      0   0.00%   0.00%  0.00%   -    ksoftirqd/6
   23            0         2      0   0.00%   0.00%  0.00%   -    watchdog/6
   24         5700    708991      0   0.00%   0.00%  0.00%   -    migration/7
   25      1165010  108234390      0   0.00%   0.00%  0.00%   -    ksoftirqd/7
   26            0         2      0   0.00%   0.00%  0.00%   -    watchdog/7
