

CPU utilization for five seconds: 25%/0%; one minute: 26%; five minutes: 23%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       269610   6589907      0   0.00%   0.00%  0.00%   -    init
 1234           10         3      3   0.00%   0.00%  0.00%   -    vsh-top.sh
 1514        18300     16015      1   0.00%   0.00%  0.00%   -    vsh
 2711            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 5673            0        47      0   0.00%   0.00%  0.00%   -    portmap
 5684            0         8      0   0.00%   0.00%  0.00%   -    rpc.statd
 5688            0         4      0   0.00%   0.00%  0.00%   -    rpc.idmapd
 5706            0       113      0   0.00%   0.00%  0.00%   -    rpc.mountd
 5719      6772710  76064195      0   0.00%   0.00%  0.00%   -    sysmgr
 6327          200      1074      0   0.00%   0.00%  0.00%   -    xinetd
 6328          150       642      0   0.00%   0.00%  0.00%   -    tftpd
 6329      2344030  67654106      0   0.00%   0.00%  0.00%   -    syslogd
 6330          370       855      0   0.00%   0.00%  0.00%   -    sdwrapd
 6331         1910       482      3   0.00%   0.00%  0.00%   -    pfm_dummy
 6335   4050671720  1043197341      3   0.90%   1.03%  1.30%   -    platform
 6402     25758380  12725352      2   0.00%   0.00%  0.00%   -    cmond
 6993      3829820  89154033      0   0.01%   0.00%  0.00%   -    vshd
 6994       220360   6560283      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 6995           40  13853858      0   0.00%   0.00%  0.00%   -    smm
 6996       217360   6551813      0   0.00%   0.00%  0.00%   -    session-mgr
 6997       809750  32687851      0   0.00%   0.00%  0.00%   -    psshelper
 6999      2743700  22935261      0   0.00%   0.00%  0.00%   -    pixm_vl
 7000       758910   8450282      0   0.00%   0.00%  0.00%   -    pixm_gl
 7001           60  3537478316      0   0.17%   0.18%  0.18%   -    pdsd
 7002        19900    549158      0   0.00%   0.00%  0.00%   -    mmode
 7003        35320    542298      0   0.00%   0.00%  0.00%   -    lmgrd
 7004       320170   8642349      0   0.00%   0.00%  0.00%   -    licmgr
 7005     87288120  88782140      0   0.00%   0.00%  0.01%   -    fs-daemon
 7006     53928570  718753007      0   0.05%   0.03%  0.02%   -    feature-mgr
 7007         1660     21308      0   0.00%   0.00%  0.00%   -    confcheck
 7008       106630   3275564      0   0.00%   0.00%  0.00%   -    capability
 7009       116280  13052621      0   0.00%   0.00%  0.00%   -    bloggerd
 7010       781570  32459860      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 7029        64450    544175      0   0.00%   0.00%  0.00%   -    cisco
 7030      1702270   2478493      0   0.00%   0.00%  0.00%   -    clis
 7043      6388370   6153267      1   0.00%   0.00%  0.00%   -    port-profile
 7107       334870  10829646      0   0.00%   0.00%  0.00%   -    xmlma
 7108       263630   6850270      0   0.00%   0.00%  0.00%   -    vmm
 7109       241890   4078330      0   0.00%   0.00%  0.00%   -    vman
 7110       333170   6682111      0   0.00%   0.00%  0.00%   -    vdc_mgr
 7111       697600   6514935      0   0.00%   0.00%  0.00%   -    usbhsd
 7112       397600  16235248      0   0.00%   0.00%  0.00%   -    ttyd
 7113       158070  128591326      0   0.05%   0.06%  0.07%   -    sysinfo
 7114       218760   6552078      0   0.00%   0.00%  0.00%   -    statsprofiler
 7115       715040  32459289      0   0.00%   0.00%  0.00%   -    sksd
 7117        28520    673213      0   0.00%   0.00%  0.00%   -    res_mgr
 7118       714540  32492329      0   0.00%   0.00%  0.00%   -    plugin
 7119       217560   6554521      0   0.00%   0.00%  0.00%   -    pltfm_debug
 7120      3546860  14852617      0   0.00%   0.00%  0.00%   -    plog_sup
 7121        31710   1104931      0   0.00%   0.00%  0.00%   -    patch-installer
 7122        72880   2183685      0   0.00%   0.00%  0.00%   -    mvsh
 7123           70       493      0   0.00%   0.00%  0.00%   -    mping_server
 7124          330       557      0   0.00%   0.00%  0.00%   -    fw_app
 7125       252700   2240025      0   0.00%   0.00%  0.00%   -    evms
 7127        56050   1639769      0   0.00%   0.00%  0.00%   -    evmc
 7128          150       206      0   0.00%   0.00%  0.00%   -    epld_upgrade_stdby
 7129         1910      5975      0   0.00%   0.00%  0.00%   -    epld_auto
 7130     37246750  58334835      0   0.00%   0.00%  0.00%   -    diagmgr
 7131       128780   2088715      0   0.00%   0.00%  0.00%   -    crdcfg_server
 7132          550       665      0   0.00%   0.00%  0.00%   -    core-dmon
 7133      3411890  35406997      0   0.00%   0.00%  0.00%   -    clk_mgr
 7134       213590   6573051      0   0.00%   0.00%  0.00%   -    cli_acl
 7135       174620   6501376      0   0.00%   0.00%  0.00%   -    bios_daemon
 7136       140310   4081201      0   0.00%   0.00%  0.00%   -    ascii-cfg
 7137      1361230  36353086      0   0.00%   0.00%  0.00%   -    securityd
 7138       730730  32460108      0   0.00%   0.00%  0.00%   -    cert_enroll
 7139      7290020  51541896      0   0.01%   0.01%  0.00%   -    aaa
 7140       117720   4069974      0   0.00%   0.00%  0.00%   -    obfl
 7152           50   1361233      0   0.00%   0.00%  0.00%   -    l3vm
 7153           40  1259902424      0   0.00%   0.00%  0.00%   -    urib
 7268     14492520  11043686      1   0.00%   0.00%  0.00%   -    diagclient
 7313      8601240  29321388      0   0.00%   0.00%  0.00%   -    aclmgr
 7329      1850110  42858867      0   0.00%   0.00%  0.00%   -    device_test
 7330   4152865286   2534107   1638   0.00%   0.00%  0.00%   -    xbar
 7333     21096300  187937632      0   0.00%   0.00%  0.00%   -    module
 7334          220       710      0   0.00%   0.00%  0.00%   -    ExceptionLog
 7335       482390  16386813      0   0.00%   0.00%  0.00%   -    bootvar
 7336   4151938576   6547425    634   0.00%   0.00%  0.00%   -    cardclient
 7337      2064180  18214661      0   0.00%   0.00%  0.00%   -    ifmgr
 7347       201730   6547156      0   0.00%   0.00%  0.00%   -    clp_elam
 7348     27714340  188363563      0   0.00%   0.00%  0.00%   -    clp_fwd
 7349      9598560  71681550      0   0.00%   0.00%  0.00%   -    clp_l3
 7350    380974550  358879026      1   0.17%   0.07%  0.06%   -    clp_mac
 7351    214658870  29043461      7   0.11%   0.03%  0.03%   -    clp_xbar
 7352     61450590  43255609      1   0.01%   0.00%  0.00%   -    lit
 7353    138489450  100008238      1   0.01%   0.01%  0.01%   -    sac_usd
 7354   4153834286  44343461     93   0.00%   0.00%  0.00%   -    sensor
 7355    161521060  500261336      0   0.00%   0.01%  0.02%   -    sm15_usd
 7427       209780   6552320      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 7559           50  1752542355      0   0.05%   0.08%  0.07%   -    adjmgr
 7560       209420   6560081      0   0.00%   0.00%  0.00%   -    ncpinframgr
 7561           40  109958081      0   0.00%   0.00%  0.00%   -    u6rib
 7584           80   4770007      0   0.00%   0.00%  0.00%   -    npacl
 7613           80  4177840559      0   0.60%   0.68%  0.67%   -    arp
 7615           50  41524121      0   0.00%   0.00%  0.00%   -    icmpv6
 7616           70  1191865051      0   4.05%   3.69%  3.59%   -    pktmgr
 7635          100  106815545      0   0.76%   0.57%  0.43%   -    netstack
 7715      1285430  32478339      0   0.00%   0.00%  0.00%   -    radius
 7716    108787600  101688100      1   0.03%   0.02%  0.02%   -    cdp
 7717     81336490  511115004      0   0.00%   0.00%  0.00%   -    cfs
