

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 19
Address         Age       MAC Address     Interface
10.8.13.2       00:03:24  d867.d96f.05c1  port-channel3   
10.8.13.6       00:03:25  d867.d970.84c1  port-channel4   
10.8.255.170    00:01:17  d867.d970.8641  port-channel5   
10.8.13.22      00:00:33  d867.d96f.05c3  port-channel9   
10.8.13.26      00:00:33  d867.d970.84c3  port-channel10  
10.8.255.137    00:00:56  4055.390e.1141  port-channel1011
10.8.255.145    00:01:01  d867.d90d.5b41  port-channel1012
10.8.13.50      00:06:32  4400.4d39.f84e  Ethernet3/2     
10.8.255.153    00:00:23  4055.390d.eb41  Ethernet3/3     
10.8.13.86      00:10:14  ac3a.6721.511c  Ethernet3/4     
10.8.13.42      00:00:25  0023.5ed9.30c0  Ethernet3/6     
10.8.13.58      00:06:32  4400.4d39.f7c7  Ethernet4/2     
10.8.255.161    00:11:04  8478.ac09.f6c1  Ethernet4/3     
10.8.13.90      00:04:16  ac3a.6738.6424  Ethernet4/4     
10.8.255.182    00:13:42  4055.390e.1141  Ethernet7/2     
10.8.13.66      00:02:00  003a.9c98.48c2  Ethernet7/3     
10.8.255.186    00:08:05  d867.d90d.5b41  Ethernet8/2     
10.8.13.70      00:11:44  003a.9c98.9042  Ethernet8/3     
10.8.255.174    00:03:43  d867.d970.8641  port-channel2   
