

CPU utilization for five seconds: 9%/0%; one minute: 4%; five minutes: 3%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1         9820    154510      0   0.00%   0.00%  0.00%   -    init
 2040            0         1      0   0.00%   0.00%  0.00%   -    raid_monitor
 2713            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 5798            0        39      0   0.00%   0.00%  0.00%   -    portmap
 5801            0         8      0   0.00%   0.00%  0.00%   -    rpc.statd
 5821            0         8      0   0.00%   0.00%  0.00%   -    rpc.mountd
 5834      1109560  20731298      0   0.01%   0.01%  0.01%   -    sysmgr
 6427           40       104      0   0.00%   0.00%  0.00%   -    xinetd
 6428           40       141      0   0.00%   0.00%  0.00%   -    tftpd
 6429        42370    773150      0   0.00%   0.00%  0.00%   -    syslogd
 6430          530       106      5   0.00%   0.00%  0.00%   -    sdwrapd
 6431         4500       643      6   0.00%   0.00%  0.00%   -    pfm_dummy
 6432     21054710   6013181      3   0.31%   1.14%  0.58%   -    platform
 6502      1176320    265728      4   0.00%   0.02%  0.01%   -    cmond
 7010           20       178      0   0.00%   0.00%  0.00%   -    klogd
 7091         5850     99644      0   0.00%   0.00%  0.00%   -    vshd
 7092         7420    154976      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 7093          470        31     15   0.00%   0.00%  0.00%   -    smm
 7094         7660    154510      0   0.00%   0.00%  0.00%   -    session-mgr
 7095        23890    771666      0   0.00%   0.00%  0.00%   -    psshelper
 7096         8360    155249      0   0.00%   0.00%  0.00%   -    pixm_vl
 7097         7670    154774      0   0.00%   0.00%  0.00%   -    pixm_gl
 7098          460        49      9   0.00%   0.00%  0.00%   -    pdsd
 7099         1180     13059      0   0.00%   0.00%  0.00%   -    mmode
 7100        18580    202143      0   0.00%   0.00%  0.00%   -    lmgrd
 7101        20100    207772      0   0.00%   0.00%  0.00%   -    licmgr
 7102       290450    773347      0   0.00%   0.04%  0.01%   -    fs-daemon
 7103         4990     97391      0   0.00%   0.00%  0.00%   -    feature-mgr
 7104          670      2012      0   0.00%   0.00%  0.00%   -    confcheck
 7105         4110     77618      0   0.00%   0.00%  0.00%   -    capability
 7106         4460    128995      0   0.00%   0.00%  0.00%   -    bloggerd
 7107        23750    771323      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 7121        17600    771114      0   0.00%   0.00%  0.00%   -    cisco
 7127        40000    116751      0   0.00%   0.00%  0.00%   -    clis
 7178         3890     33792      0   0.00%   0.00%  0.00%   -    port-profile
 7189        11310    257272      0   0.00%   0.00%  0.00%   -    xmlma
 7190         7650    154739      0   0.00%   0.00%  0.00%   -    vmm
 7191         6430     96780      0   0.00%   0.00%  0.00%   -    vman
 7192         7690    155278      0   0.00%   0.00%  0.00%   -    vdc_mgr
 7193        16430    154387      0   0.00%   0.00%  0.00%   -    usbhsd
 7194        13350    386009      0   0.00%   0.00%  0.00%   -    ttyd
 7195       272530  10829767      0   0.05%   0.10%  0.09%   -    sysinfo
 7196         7690    154597      0   0.00%   0.00%  0.00%   -    statsprofiler
 7197        25070    771336      0   0.00%   0.00%  0.00%   -    sksd
 7199        11170    168670      0   0.00%   0.00%  0.00%   -    rtd_monitor
 7200         2680     35535      0   0.00%   0.00%  0.00%   -    res_mgr
 7201        23500    772176      0   0.00%   0.00%  0.00%   -    plugin
 7202         6880    158759      0   0.00%   0.00%  0.00%   -    plog_sup
 7203         1520     26601      0   0.00%   0.00%  0.00%   -    patch-installer
 7204         3190     51732      0   0.00%   0.00%  0.00%   -    mvsh
 7205           40        31      1   0.00%   0.00%  0.00%   -    mping_server
 7206          790       107      7   0.00%   0.00%  0.00%   -    fw_app
 7207         4280     99291      0   0.00%   0.00%  0.00%   -    fmd
 7208         2850     52560      0   0.00%   0.00%  0.00%   -    evms
 7210         2660     39397      0   0.00%   0.00%  0.00%   -    evmc
 7211          580        62      9   0.00%   0.00%  0.00%   -    epld_upgrade_stdby
 7212          600       223      2   0.00%   0.00%  0.00%   -    epld_auto
 7213       592010   1081847      0   0.00%   0.00%  0.00%   -    diagmgr
 7214         4030     44584      0   0.00%   0.00%  0.00%   -    crdcfg_server
 7215          930       150      6   0.00%   0.00%  0.00%   -    core-dmon
 7216        69040    630740      0   0.00%   0.00%  0.00%   -    clk_mgr
 7217         7450    154509      0   0.00%   0.00%  0.00%   -    cli_acl
 7218         5650    154466      0   0.00%   0.00%  0.00%   -    bios_daemon
 7219         4620     97268      0   0.00%   0.00%  0.00%   -    ascii-cfg
 7220        27620    773184      0   0.00%   0.00%  0.00%   -    securityd
 7221        25920    782075      0   0.00%   0.00%  0.00%   -    cert_enroll
 7222        25240    780624      0   0.00%   0.00%  0.00%   -    aaa
 7223         4440     96735      0   0.00%   0.00%  0.00%   -    obfl
 7229          480        64      7   0.00%   0.00%  0.00%   -    l3vm
 7230          480        61      7   0.05%   0.00%  0.00%   -    urib
 7236       383230    371178      1   0.00%   0.00%  0.00%   -    diagclient
 7274        53170   1056810      0   0.00%   0.00%  0.00%   -    device_test
 7336         3480     63255      0   0.00%   0.00%  0.00%   -    xbar
 7341       274020   2064942      0   0.00%   0.00%  0.00%   -    module
 7342          970       114      8   0.00%   0.00%  0.00%   -    ExceptionLog
 7343        14900    387325      0   0.00%   0.00%  0.00%   -    bootvar
 7344         9440    154546      0   0.00%   0.00%  0.00%   -    cardclient
 7345        88490    854389      0   0.01%   0.00%  0.00%   -    ifmgr
 7365         7470    154390      0   0.00%   0.00%  0.00%   -    clp_elam
 7366       531940   5726257      0   0.00%   0.00%  0.00%   -    clp_fwd
 7367       956570  11561656      0   0.01%   0.00%  0.01%   -    clp_l3
 7368      9302220   8359935      1   0.13%   0.14%  0.14%   -    clp_mac
 7369      7728900    859711      8   0.03%   0.10%  0.11%   -    clp_xbar
 7370      1073200   1061051      1   0.00%   0.01%  0.01%   -    lit
 7371       765520   1393736      0   0.00%   0.00%  0.01%   -    sac_usd
 7372      2283060    978002      2   0.00%   0.03%  0.03%   -    sensor
 7373       561770   1417547      0   0.00%   0.00%  0.00%   -    xbar_driver_usd
 7487          410        27     15   0.01%   0.01%  0.01%   -    adjmgr
 7488         7070    155225      0   0.00%   0.00%  0.00%   -    ncpinframgr
 7489          320        21     15   0.00%   0.00%  0.00%   -    u6rib
 7504       100120    578084      0   0.00%   0.00%  0.00%   -    aclmgr
 7509         6900    154427      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 7596          520        41     12   0.00%   0.00%  0.00%   -    arp
 7597          330        23     14   0.00%   0.00%  0.00%   -    icmpv6
