

--------------------------------------------------------------------------------
Port          Native  Status        Port
              Vlan                  Channel
--------------------------------------------------------------------------------
Eth1/5        1       trunking      --
Eth1/6        1       trunking      --
Eth1/7        1       trunking      --
Eth1/8        1       trunking      --
Eth1/9        1       trunking      --
Eth1/10       1       trunking      --
Eth1/11       1       trunking      --
Eth1/12       1       trunking      --
Eth1/13       1       trunking      --
Eth1/14       1       trunking      --
Eth1/15       1       trunking      --
Eth1/16       1       trnk-bndl     Po73
Eth1/17       1       trnk-bndl     Po74
Eth1/18       1       trnk-bndl     Po76
Eth1/23       1       trnk-bndl     Po362
Eth1/24       1       trnk-bndl     Po363
Eth1/25       1       trnk-bndl     Po72
Eth1/26       1       trnk-bndl     Po72
Eth1/28       1       trnk-bndl     Po438
Eth1/29       1       trnk-bndl     Po78
Eth1/30       1       trnk-bndl     Po78
Eth1/31       1       trnk-bndl     Po99
Eth1/33       1       trnk-bndl     Po79
Eth1/34       1       trnk-bndl     Po79
Eth1/35       1       trnk-bndl     Po79
Eth1/36       1       trnk-bndl     Po79
Eth1/37       1       trnk-bndl     Po112
Eth1/38       1       trnk-bndl     Po112
Eth1/39       1       trnk-bndl     Po112
Eth1/40       1       trnk-bndl     Po112
Eth1/41       1       trnk-bndl     Po75
Eth1/42       1       trnk-bndl     Po75
Eth1/43       1       trnk-bndl     Po75
Eth1/44       1       trnk-bndl     Po75
Eth1/45       1       trnk-bndl     Po75
Eth1/46       1       trnk-bndl     Po75
Eth1/47       1       trnk-bndl     Po75
Eth1/48       1       trnk-bndl     Po75
Eth2/6        1       trunking      --
Eth2/7        1       trnk-bndl     Po59
Eth2/8        1       trnk-bndl     Po77
Eth2/13       1       trunking      --
Eth2/25       1       trnk-bndl     Po72
Eth2/26       1       trnk-bndl     Po72
Eth2/33       1       trnk-bndl     Po79
Eth2/34       1       trnk-bndl     Po79
Eth2/35       1       trnk-bndl     Po79
Eth2/36       1       trnk-bndl     Po79
Eth2/37       1       trnk-bndl     Po112
Eth2/38       1       trnk-bndl     Po112
Eth2/39       1       trnk-bndl     Po112
Eth2/40       1       trnk-bndl     Po112
Eth2/41       1       trnk-bndl     Po75
Eth2/42       1       trnk-bndl     Po75
Eth2/43       1       trnk-bndl     Po75
Eth2/44       1       trnk-bndl     Po75
Eth2/45       1       trnk-bndl     Po75
Eth2/46       1       trnk-bndl     Po75
Eth2/47       1       trnk-bndl     Po75
Eth2/48       1       trnk-bndl     Po75
Eth7/5        1       trunking      --
Eth7/6        1       trunking      --
Eth7/21       1       trunking      --
Eth7/33       1       trnk-bndl     Po61
Eth7/37       1       trnk-bndl     Po41
Eth7/38       1       trnk-bndl     Po41
Eth7/39       1       trnk-bndl     Po41
Eth7/40       1       trnk-bndl     Po41
Eth7/42       1       trnk-bndl     Po71
Eth7/43       1       trnk-bndl     Po71
Eth8/5        1       trunking      --
Eth8/6        1       trunking      --
Eth8/21       1       trnk-bndl     Po501
Eth8/33       1       trnk-bndl     Po62
Eth8/37       1       trnk-bndl     Po42
Eth8/38       1       trnk-bndl     Po42
Eth8/39       1       trnk-bndl     Po42
Eth8/40       1       trnk-bndl     Po42
Eth8/42       1       trnk-bndl     Po71
Eth8/43       1       trnk-bndl     Po71
Eth9/8        1       trunking      --
Eth9/9        1       trunking      --
Eth9/10       1       trunking      --
Eth9/17       1       trunking      --
Eth9/18       1       trunking      --
Eth9/19       1       trunking      --
Eth9/20       1       trunking      --
Eth9/21       1       trunking      --
Eth9/22       1       trunking      --
Eth9/23       1       trunking      --
Eth9/25       1       trunking      --
Eth9/38       1       trunking      --
Eth9/47       1       trnk-bndl     Po4000
Eth9/48       1       trnk-bndl     Po4000
Eth10/9       1       trunking      --
Eth10/10      1       trunking      --
Eth10/11      1       trunking      --
Eth10/17      1       trunking      --
Eth10/18      1       trunking      --
Eth10/19      1       trunking      --
Eth10/20      1       trunking      --
Eth10/21      1       trunking      --
Eth10/22      1       trunking      --
Eth10/23      1       trunking      --
Eth10/25      1       trunking      --
Eth10/38      1       trunking      --
Eth10/45      1       trnk-bndl     Po438
