

CPU utilization for five seconds: 42%/6%; one minute: 26%; five minutes: 19%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1        24430    950786      0   0.00%   0.00%  0.00%   -    init
    2           10      1138      0   0.00%   0.00%  0.00%   -    kthreadd
    3         3500    343474      0   0.00%   0.00%  0.00%   -    migration/0
    4      6193470  66983349      0   0.01%   0.02%  0.01%   -    ksoftirqd/0
    5            0         2      0   0.00%   0.00%  0.00%   -    watchdog/0
    6         6850    478246      0   0.00%   0.00%  0.00%   -    migration/1
    7      8307500  22172762      0   0.00%   0.02%  0.02%   -    ksoftirqd/1
    8            0        11      0   0.00%   0.00%  0.00%   -    watchdog/1
    9         3500    312917      0   0.00%   0.00%  0.00%   -    migration/2
   10      2510320  47186032      0   0.03%   0.01%  0.00%   -    ksoftirqd/2
   11            0         2      0   0.00%   0.00%  0.00%   -    watchdog/2
   12         6810    481777      0   0.00%   0.00%  0.00%   -    migration/3
   13      9531330  27179214      0   0.00%   0.01%  0.01%   -    ksoftirqd/3
   14            0        21      0   0.00%   0.00%  0.00%   -    watchdog/3
   15        40710   1563842      0   0.00%   0.00%  0.00%   -    migration/4
   16      6379620  20344835      0   0.09%   0.02%  0.01%   -    ksoftirqd/4
   17            0         6      0   0.00%   0.00%  0.00%   -    watchdog/4
   18        44890   1931154      0   0.00%   0.00%  0.00%   -    migration/5
   19      6821700  23888012      0   0.00%   0.01%  0.01%   -    ksoftirqd/5
   20            0        30      0   0.00%   0.00%  0.00%   -    watchdog/5
   21        37070   1401465      0   0.00%   0.00%  0.00%   -    migration/6
   22      5096200  25238447      0   0.00%   0.00%  0.00%   -    ksoftirqd/6
   23            0         7      0   0.00%   0.00%  0.00%   -    watchdog/6
   24        45060   1930569      0   0.00%   0.00%  0.00%   -    migration/7
   25      7601260  49216356      0   0.01%   0.01%  0.02%   -    ksoftirqd/7
   26            0        28      0   0.00%   0.00%  0.00%   -    watchdog/7
   27        51910   4740948      0   0.00%   0.00%  0.00%   -    events/0
   28        22170   4659592      0   0.00%   0.00%  0.00%   -    events/1
   29        22870   4664236      0   0.00%   0.00%  0.00%   -    events/2
   30        22100   4668180      0   0.00%   0.00%  0.00%   -    events/3
   31        32240   5018428      0   0.00%   0.00%  0.00%   -    events/4
   32       178730   6949058      0   0.00%   0.00%  0.00%   -    events/5
   33       172290   9205173      0   0.00%   0.00%  0.00%   -    events/6
   34       182050   6961336      0   0.00%   0.00%  0.00%   -    events/7
   35           10        24      0   0.00%   0.00%  0.00%   -    khelper
   36          170        27      6   0.00%   0.00%  0.00%   -    netns
   37           90      2674      0   0.00%   0.00%  0.00%   -    kblockd/0
   38          220      4724      0   0.00%   0.00%  0.00%   -    kblockd/1
   39          140      2850      0   0.00%   0.00%  0.00%   -    kblockd/2
   40           90      5852      0   0.00%   0.00%  0.00%   -    kblockd/3
   41          190      3898      0   0.00%   0.00%  0.00%   -    kblockd/4
   42          360      7528      0   0.00%   0.00%  0.00%   -    kblockd/5
   43          150      3045      0   0.00%   0.00%  0.00%   -    kblockd/6
   44          220     15726      0   0.00%   0.00%  0.00%   -    kblockd/7
   45            0         2      0   0.00%   0.00%  0.00%   -    kacpid
   46            0         2      0   0.00%   0.00%  0.00%   -    kacpi_notify
   47            0         2      0   0.00%   0.00%  0.00%   -    kseriod
   48            0         2      0   0.00%   0.00%  0.00%   -    ksuspend_usbd
   49           10       231      0   0.00%   0.00%  0.00%   -    khubd
   50         6830    515483      0   0.00%   0.00%  0.00%   -    pdflush
   51         6880    530720      0   0.00%   0.00%  0.00%   -    pdflush
   52            0         2      0   0.00%   0.00%  0.00%   -    kswapd0
   53            0         2      0   0.00%   0.00%  0.00%   -    aio/0
   54            0         2      0   0.00%   0.00%  0.00%   -    aio/1
   55            0         2      0   0.00%   0.00%  0.00%   -    aio/2
   56            0         2      0   0.00%   0.00%  0.00%   -    aio/3
   57            0         2      0   0.00%   0.00%  0.00%   -    aio/4
   58            0         2      0   0.00%   0.00%  0.00%   -    aio/5
   59            0         2      0   0.00%   0.00%  0.00%   -    aio/6
   60            0         2      0   0.00%   0.00%  0.00%   -    aio/7
   61            0         2      0   0.00%   0.00%  0.00%   -    nfsiod
   62            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_0
   63        14140   3583747      0   0.00%   0.00%  0.00%   -    usb-storage
   65            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_1
   66        16270   3578387      0   0.00%   0.00%  0.00%   -    usb-storage
   68            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_2
   69         6930   1354003      0   0.00%   0.00%  0.00%   -    usb-storage
   71            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_3
   72         5180    983383      0   0.00%   0.00%  0.00%   -    usb-storage
   74            0         2      0   0.00%   0.00%  0.00%   -    kstriped
   75            0         2      0   0.00%   0.00%  0.00%   -    rpciod/0
   76            0         2      0   0.00%   0.00%  0.00%   -    rpciod/1
   77            0         3      0   0.00%   0.00%  0.00%   -    rpciod/2
   78            0         2      0   0.00%   0.00%  0.00%   -    rpciod/3
   79            0         2      0   0.00%   0.00%  0.00%   -    rpciod/4
   80            0         2      0   0.00%   0.00%  0.00%   -    rpciod/5
   81            0         2      0   0.00%   0.00%  0.00%   -    rpciod/6
   82            0        17      0   0.00%   0.00%  0.00%   -    rpciod/7
 2005           10         1     10   0.00%   0.00%  0.00%   -    raid_monitor
 2051         4040    236390      0   0.00%   0.00%  0.00%   -    md3_raid1
 2055        12060    579547      0   0.00%   0.00%  0.00%   -    md4_raid1
 2059         4300    242155      0   0.00%   0.00%  0.00%   -    md5_raid1
 2063         4170    228619      0   0.00%   0.00%  0.00%   -    md6_raid1
 2118        12500    368319      0   0.00%   0.00%  0.00%   -    kjournald
 2123         5730    155952      0   0.00%   0.00%  0.00%   -    kjournald
 2242         5870    223238      0   0.00%   0.00%  0.00%   -    kjournald
 2247         6090    217477      0   0.00%   0.00%  0.00%   -    kjournald
 2629         5890    216361      0   0.00%   0.00%  0.00%   -    kjournald
 2753            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 4434        11810    449042      0   0.00%   0.00%  0.00%   -    kjournald
 4673            0        30      0   0.00%   0.00%  0.00%   -    portmap
 4682           10         6      1   0.00%   0.00%  0.00%   -    rpc.statd
 4697            0         2      0   0.00%   0.00%  0.00%   -    lockd
 4698           10      1298      0   0.00%   0.00%  0.00%   -    nfsd
 4699           50      1299      0   0.00%   0.00%  0.00%   -    nfsd
 4700           30      1298      0   0.00%   0.00%  0.00%   -    nfsd
 4701           40      1298      0   0.00%   0.00%  0.00%   -    nfsd
 4702           10      1298      0   0.00%   0.00%  0.00%   -    nfsd
 4703           10      1299      0   0.00%   0.00%  0.00%   -    nfsd
 4704           10      1300      0   0.00%   0.00%  0.00%   -    nfsd
 4705           40      1298      0   0.00%   0.00%  0.00%   -    nfsd
 4710            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 4730     12047650  198937163      0   0.19%   0.04%  0.03%   -    sysmgr
 5089            0         1      0   0.00%   0.00%  0.00%   -    mping-thread
 5194         9020    155475      0   0.00%   0.00%  0.00%   -    redun_kthread
 5523            0        11      0   0.00%   0.00%  0.00%   -    usd_mts_kthread
 5560        25270   2331451      0   0.00%   0.00%  0.00%   -    ls-notify-mts-t
 5580          100       126      0   0.00%   0.00%  0.00%   -    inband_kthread
 5672            0         4      0   0.00%   0.00%  0.00%   -    mts-sync-thrc
 5673     68844040  164031249      0   0.35%   0.20%  0.18%   -    mts-sync-thr
 5762        16410    159670      0   0.00%   0.00%  0.00%   -    cisco
 5796           10       493      0   0.00%   0.00%  0.00%   -    dhcpd
 6171       331500   9749971      0   0.01%   0.00%  0.00%   -    ntpd
 6205        12040    348346      0   0.00%   0.00%  0.00%   -    kjournald
 6448     10322770  46509674      0   0.01%   0.01%  0.02%   -    sctpt_rx_thr
 6449      2369640  23222959      0   0.00%   0.00%  0.00%   -    sctpt_tx_thr
 6793        51010   4660464      0   0.00%   0.00%  0.00%   -    wdpunch_thread
 6974           10        19      0   0.00%   0.00%  0.00%   S0    getty
 6975           10         4      2   0.00%   0.00%  0.00%   -    sh
 6981           10        43      0   0.00%   0.00%  0.00%   -    libvirtd
 7490            0         2      0   0.00%   0.00%  0.00%   -    kauditd
 8564       179890   7933824      0   0.00%   0.00%  0.00%   -    ntpd
 9251        89880   4765340      0   0.00%   0.00%  0.00%   -    syslogd
 9498          230       548      0   0.00%   0.00%  0.00%   -    confcheck
 9499      1956490  34374545      0   0.03%   0.00%  0.00%   -    feature-mgr
 9500        23380   1300842      0   0.00%   0.00%  0.00%   -    pixm_vl
 9501        56110   4667020      0   0.00%   0.00%  0.00%   -    psshelper
 9502        21270   1296235      0   0.00%   0.00%  0.00%   -    session-mgr
 9503         7750    177662      0   0.00%   0.00%  0.00%   -    smm
 9504        13740    604040      0   0.00%   0.00%  0.00%   -    vshd
 9511       175320    744888      0   0.00%   0.00%  0.00%   -    clis
 9512        14680    218129      0   0.00%   0.00%  0.00%   -    port-profile
 9518        58820   4712080      0   0.00%   0.00%  0.00%   -    aaa
 9519        66510   4762833      0   0.00%   0.00%  0.00%   -    cert_enroll
 9520        92230   4718641      0   0.00%   0.00%  0.00%   -    securityd
 9521        12930    585939      0   0.00%   0.00%  0.00%   -    ascii-cfg
 9522        21190   1299349      0   0.00%   0.00%  0.00%   -    cli_acl
 9523         5490    294858      0   0.00%   0.00%  0.00%   -    evmc
 9525         7000    395817      0   0.00%   0.00%  0.00%   -    evms
 9526           50        71      0   0.00%   0.00%  0.00%   -    mping_server
 9527         7120    396447      0   0.00%   0.00%  0.00%   -    mvsh
 9529        55410   4666991      0   0.00%   0.00%  0.00%   -    sksd
 9530        78320   1632547      0   0.19%   0.06%  0.01%   -    snmpmib_proc
 9531       582130   4234098      0   0.00%   0.00%  0.00%   -    statsprofiler
 9532        21570    585991      0   0.00%   0.00%  0.00%   -    vman
 9533        21770   1298066      0   0.00%   0.00%  0.00%   -    vmm
 9534        26440   1557847      0   0.00%   0.00%  0.00%   -    xmlma
 9535        22520    616639      0   0.00%   0.00%  0.00%   -    l3vm
 9536       357590  10907365      0   0.00%   0.00%  0.00%   -    urib
 9547       219910   2038514      0   0.00%   0.00%  0.00%   -    aclmgr
 9564       801480  68789091      0   0.00%   0.00%  0.00%   -    adjmgr
 9565       242620   5537303      0   0.00%   0.00%  0.00%   -    u6rib
 9584       230040   5617046      0   0.01%   0.00%  0.00%   -    arp
 9585        20700    561340      0   0.00%   0.00%  0.00%   -    icmpv6
 9586        85360    901194      0   0.00%   0.00%  0.00%   -    npacl
 9590     36624070  516059690      0   0.35%   0.13%  0.10%   -    pktmgr
 9605           10        18      0   0.00%   0.00%  0.00%   -    klogd
 9617     35357780  692941664      0   0.41%   0.13%  0.09%   -    netstack
 9630       117230   4675961      0   0.00%   0.00%  0.00%   -    radius
 9632       540470   3917643      0   0.01%   0.00%  0.00%   -    cdp
 9634        34810   1426129      0   0.00%   0.00%  0.00%   -    cfs
 9635           40        45      0   0.00%   0.00%  0.00%   -    ip_dummy
 9636           40        41      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 9637        16190    267080      0   0.00%   0.00%  0.00%   -    ntp
 9638        22480   1299796      0   0.00%   0.00%  0.00%   -    otm
 9639    116943550  590355381      0   2.69%   1.21%  0.53%   -    snmpd
 9640           50        68      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 9676       263530   5285643      0   0.01%   0.00%  0.00%   -    tacacs
 9677        14020    951565      0   0.00%   0.00%  0.00%   -    fscm
 9678       183480   8245205      0   0.00%   0.00%  0.00%   -    ntpd
 9679          700      3621      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 9683        82680   4668570      0   0.00%   0.00%  0.00%   -    callhome
 9973       222900   2239874      0   0.00%   0.00%  0.00%   -    spm
 9974       250000   4295121      0   0.00%   0.00%  0.00%   -    rpm
 9975        21740   1299143      0   0.00%   0.00%  0.00%   -    plsm
 9976      2604110  35013017      0   0.03%   0.00%  0.00%   -    pfstat
 9978      1300100   5864565      0   0.00%   0.00%  0.00%   -    lldp
 9979        37090   1414268      0   0.00%   0.00%  0.00%   -    lim
 9980       128460   1215677      0   0.00%   0.00%  0.00%   -    igmp
 9981         7780    399552      0   0.00%   0.00%  0.00%   -    eltm
 9982         8050    207468      0   0.00%   0.00%  0.00%   -    acllog
 9985        24270   1295274      0   0.00%   0.00%  0.00%   -    monitor
 9988        24390   1295847      0   0.00%   0.00%  0.00%   -    iscm
 9999        91640   1316002      0   0.01%   0.00%  0.00%   -    eth_port_channel
10000        34410    743870      0   0.01%   0.00%  0.00%   -    vlan_mgr
10001      1082350  22552490      0   0.01%   0.00%  0.00%   -    eth_dstats
10002      5358060  17405488      0   0.00%   0.00%  0.01%   -    ipqosmgr
10003       870030   4649931      0   0.00%   0.00%  0.00%   -    lacp
10004     10785910  47910943      0   0.23%   0.04%  0.02%   -    ethpm
10005       700290   2348903      0   0.00%   0.00%  0.00%   -    l2fm
10007        78890    737308      0   0.00%   0.00%  0.00%   -    aclqos
10008      2167380  30712883      0   0.01%   0.00%  0.00%   -    stp
10012        12280    271317      0   0.00%   0.00%  0.00%   -    vtp
10013      1320350   9211975      0   0.00%   0.00%  0.00%   -    vpc
10014        68870   1757820      0   0.00%   0.00%  0.00%   -    ufdm
10015      7208500  12921414      0   0.03%   0.01%  0.01%   -    udld
10016         9990    608918      0   0.00%   0.00%  0.00%   -    u2
10017        22220   1299134      0   0.00%   0.00%  0.00%   -    sal
10018      1161610  13471316      0   0.00%   0.00%  0.00%   -    mrib
10019       198080   2041418      0   0.00%   0.00%  0.00%   -    mfdm
10020        22610   1293658      0   0.00%   0.00%  0.00%   -    mcm
10021      1348910  17262398      0   0.00%   0.00%  0.00%   -    m6rib
10022      1441080   6316185      0   0.00%   0.00%  0.00%   -    l2pt
10023      2958990  32435847      0   0.01%   0.00%  0.00%   -    hsrp_engine
10024      5452140  65641484      0   0.03%   0.01%  0.01%   -    bgp
10025      9819450  441393806      0   0.01%   0.02%  0.02%   -    ospf
10030       212730   3440610      0   0.00%   0.00%  0.00%   -    dhcp_snoop
10032         8410    186229      0   0.00%   0.00%  0.00%   -    mcastfwd
10037         7370    295397      0   0.00%   0.00%  0.00%   -    m2rib
10038      1919180  34061540      0   0.01%   0.00%  0.00%   -    interface-vlan
10106      6739190  254066287      0   0.07%   0.02%  0.02%   -    ulib
10107       677860   1022818      0   0.00%   0.00%  0.00%   -    mpls_oam
10108      1289490   9639755      0   0.01%   0.00%  0.00%   -    mpls
10109      3213790  45046075      0   0.00%   0.00%  0.00%   -    ldp
20540           20         5      4   0.00%   0.00%  0.00%   -    hwclock
22064          350      1313      0   0.15%   0.01%  0.00%   -    dcos_sshd
22065          320       818      0   0.05%   0.00%  0.00%   -    dcos_sshd
22066          360      1605      0   0.19%   0.01%  0.00%   -    dcos_sshd
22072          310       424      0   0.09%   0.01%  0.00%   5    vsh
22083          340       420      0   0.11%   0.01%  0.00%   6    vsh
22091          260       315      0   0.00%   0.00%  0.00%   7    vsh
22318          440       901      0   0.97%   0.07%  0.01%   7    vsh
24514        77160   4191231      0   0.00%   0.00%  0.00%   1    vsh
24515        77640   4191696      0   0.00%   0.00%  0.00%   2    vsh
24516        76900   4190841      0   0.00%   0.00%  0.00%   3    vsh
24517        76920   4191740      0   0.00%   0.00%  0.00%   4    vsh
25334            0         2      0   0.00%   0.00%  0.00%   -    scsi_eh_4
25335           10       558      0   0.00%   0.00%  0.00%   -    usb-storage
