

Flags: * - Adjacencies learnt on non-active FHRP router
       + - Adjacencies synced via CFSoE
       # - Adjacencies Throttled for Glean
       D - Static Adjacencies attached to down interface

IP ARP Table for context default
Total number of entries: 11
Address         Age       MAC Address     Interface
10.8.251.19     00:03:04  80e0.1d88.f041  Vlan844         
10.8.251.24     00:02:49  f872.eaa0.b870  Vlan844         
10.8.251.25     00:01:54  f872.eaa0.bbf4  Vlan844         
10.8.1.118      00:01:05  80e0.1d88.f041  Vlan700         
10.8.1.209      00:06:23  4055.390e.1141  port-channel1   
10.8.1.213      00:12:36  d867.d90d.5b41  port-channel2   
10.8.9.34       00:05:35  a46c.2af7.ce00  Ethernet3/5     
10.8.9.2        00:05:31  f0f7.5561.8200  Ethernet3/8     
10.8.9.38       00:05:22  a46c.2af7.ce01  Ethernet4/5     
10.8.9.10       00:05:18  f0f7.5561.8240  Ethernet4/8     
10.8.251.17        -      0000.0c07.ac00  Vlan844         
