
Capability codes:
  (R) Router, (B) Bridge, (T) Telephone, (C) DOCSIS Cable Device
  (W) WLAN Access Point, (P) Repeater, (S) Station, (O) Other
Device ID                         Local Intf          Hold-time   Capability  Port ID     
sw-dp4-core-1.vtb24.ru            Eth3/1              120         BR          Eth1/12           
sw-dp4-core-2.vtb24.ru            Eth3/2              120         BR          Eth1/12           
sw-dp4-core-1.vtb24.ru            Eth4/1              120         BR          Eth2/12           
sw-dp4-core-2.vtb24.ru            Eth4/2              120         BR          Eth2/12           
sw-edge-1.vtb24.ru                Eth5/22             120         BR          Eth6/1            
sw-edge-1.vtb24.ru                Eth5/24             120         BR          Eth5/3            
sw-edge-1.vtb24.ru                Eth5/25             120         BR          Eth5/26           
sw-edge-1.vtb24.ru                Eth5/26             120         BR          Eth5/25           
sw-edge-2.vtb24.ru                Eth5/41             120         BR          Eth5/41           
sw-edge-2.vtb24.ru                Eth5/42             120         BR          Eth5/42           
f5-edge-ltm-1.vtb24.ru            Eth6/5              120         BR          2.2               
r-dp4-edge-4.vtb24.ru             Eth6/8              120         BR          xe-0/0/3          
sw-edge-2.vtb24.ru                Eth6/41             120         BR          Eth6/41           
sw-edge-2.vtb24.ru                Eth6/42             120         BR          Eth6/42           
r-m35-inet-8.vtb24.ru             Eth6/46             120         R           TenGigE0/0/0/9    
sw-dp4-core-1.vtb24.ru            Eth102/1/47         120         BR          mgmt0             
DP4-OOB-CSW-2                     Eth103/1/4          120         BR          Ethernet1/39      
Total entries displayed: 17
