

CPU utilization for five seconds: 8%/0%; one minute: 5%; five minutes: 4%
PID    Runtime(ms)  Invoked   uSecs  5Sec    1Min    5Min    TTY  Process
-----  -----------  --------  -----  ------  ------  ------  ---  -----------
    1       383740   8073915      0   0.00%   0.00%  0.00%   -    init
 2051            0         1      0   0.00%   0.00%  0.00%   -    raid_monitor
 2707            0         1      0   0.00%   0.00%  0.00%   -    mcelog
 5610            0        32      0   0.00%   0.00%  0.00%   -    portmap
 5621            0         7      0   0.00%   0.00%  0.00%   -    rpc.statd
 5625            0         3      0   0.00%   0.00%  0.00%   -    rpc.idmapd
 5643            0         1      0   0.00%   0.00%  0.00%   -    rpc.mountd
 5656     27226090  411836163      0   0.00%   0.00%  0.00%   -    sysmgr
 6718           40       205      0   0.00%   0.00%  0.00%   -    xinetd
 6719           60       288      0   0.00%   0.00%  0.00%   -    tftpd
 6720     11623310  968687320      0   0.00%   0.00%  0.00%   -    syslogd
 6721          230       536      0   0.00%   0.00%  0.00%   -    sdwrapd
 6722         5290      1332      3   0.00%   0.00%  0.00%   -    pfm_dummy
 6725    788943630  339631740      2   0.09%   0.24%  0.22%   -    platform
 6791     30195770  15722850      1   0.00%   0.00%  0.00%   -    cmond
 6793           60       315      0   0.00%   0.00%  0.00%   -    klogd
 6796       256150   5360452      0   0.00%   0.00%  0.00%   -    vshd
 6797       345570   8185624      0   0.00%   0.00%  0.00%   -    vpc_config_sync
 6798           40   1503141      0   0.00%   0.00%  0.00%   -    smm
 6799       344670   8183129      0   0.00%   0.00%  0.00%   -    session-mgr
 6800      1179430  40335402      0   0.00%   0.00%  0.00%   -    psshelper
 6801       363270   8236208      0   0.00%   0.00%  0.00%   -    pixm_vl
 6802       363100   8186342      0   0.00%   0.00%  0.00%   -    pixm_gl
 6803           60  1755991503      0   0.00%   0.00%  0.00%   -    pdsd
 6804        31150    689768      0   0.00%   0.00%  0.00%   -    mmode
 6805        52870    673199      0   0.00%   0.00%  0.00%   -    lmgrd
 6806       409270   8206885      0   0.00%   0.00%  0.00%   -    licmgr
 6807     13293350  20030635      0   0.00%   0.00%  0.00%   -    fs-daemon
 6808    308326240  94128101      3   0.07%   0.04%  0.03%   -    feature-mgr
 6809         5080     67443      0   0.00%   0.00%  0.00%   -    confcheck
 6810       165570   4082060      0   0.00%   0.00%  0.00%   -    capability
 6811       218910  16190087      0   0.00%   0.00%  0.00%   -    bloggerd
 6812      1174010  40325645      0   0.00%   0.00%  0.00%   -    psshelper_gsvc
 6827       195440   1348522      0   0.00%   0.00%  0.00%   -    cisco
 6828      3124400   5399366      0   0.00%   0.00%  0.00%   -    clis
 6829      1624760   3682264      0   0.00%   0.00%  0.00%   -    port-profile
 6855            0       224      0   0.00%   0.00%  0.00%   -    dhcpd
 6860       365560   8177932      0   0.00%   0.00%  0.00%   -    xmpp
 6861       529630  13452716      0   0.00%   0.00%  0.00%   -    xmlma
 6862       331790   8179586      0   0.00%   0.00%  0.00%   -    vmm
 6863       343630   5053475      0   0.00%   0.00%  0.00%   -    vman
 6864       376150   8210390      0   0.00%   0.00%  0.00%   -    vdc_mgr
 6865       909110   8081274      0   0.00%   0.00%  0.00%   -    usbhsd
 6867       616830  20174860      0   0.00%   0.00%  0.00%   -    ttyd
 6868     10741250  1413336707      0   0.05%   0.05%  0.04%   -    sysinfo
 6869       345330   8183130      0   0.00%   0.00%  0.00%   -    statsprofiler
 6870       392960   7575584      0   0.00%   0.00%  0.00%   -    snmpmib_proc
 6871      1042510  40328192      0   0.00%   0.00%  0.00%   -    sksd
 6874        31380    792483      0   0.00%   0.00%  0.00%   -    res_mgr
 6875      1049340  40367350      0   0.00%   0.00%  0.00%   -    plugin
 6876       345480   8184962      0   0.00%   0.00%  0.00%   -    pltfm_debug
 6877      1778460  17963765      0   0.00%   0.00%  0.00%   -    plog_sup
 6878        48990   1379422      0   0.00%   0.00%  0.00%   -    patch-installer
 6879       116320   2730435      0   0.00%   0.00%  0.00%   -    mvsh
 6880           50       388      0   0.00%   0.00%  0.00%   -    mping_server
 6881          250       436      0   0.00%   0.00%  0.00%   -    fw_app
 6882       110540   2731852      0   0.00%   0.00%  0.00%   -    evms
 6884        88040   2063225      0   0.00%   0.00%  0.00%   -    evmc
 6885          140       249      0   0.00%   0.00%  0.00%   -    epld_upgrade_stdby
 6886         2690      8143      0   0.00%   0.00%  0.00%   -    epld_auto
 6887     31922970  61747371      0   0.00%   0.00%  0.00%   -    diagmgr
 6888       121070   2225461      0   0.00%   0.00%  0.00%   -    crdcfg_server
 6889          340       465      0   0.00%   0.00%  0.00%   -    core-dmon
 6890      3472250  32645110      0   0.00%   0.00%  0.00%   -    clk_mgr
 6891       334790   8184024      0   0.00%   0.00%  0.00%   -    cli_acl
 6892       252310   8072297      0   0.00%   0.00%  0.00%   -    bios_daemon
 6893       227280   5064696      0   0.00%   0.00%  0.00%   -    ascii-cfg
 6894      1205690  40451179      0   0.00%   0.00%  0.00%   -    securityd
 6895      1105700  40615014      0   0.00%   0.00%  0.00%   -    cert_enroll
 6896      1119740  41044602      0   0.00%   0.00%  0.00%   -    aaa
 6897   4154468296   5054585    821   0.00%   0.00%  0.00%   -    obfl
 6899      4093570  39312462      0   0.00%   0.00%  0.00%   -    aclmgr
 6979           60   2013342      0   0.00%   0.00%  0.00%   -    l3vm
 6980           60  96856256      0   0.00%   0.00%  0.00%   -    urib
 6998       337450   8185208      0   0.00%   0.00%  0.00%   -    eem_policy_dir
 7055     21245450  20558187      1   0.00%   0.00%  0.00%   -    diagclient
 7066   4154431876   3149727   1318   0.00%   0.00%  0.00%   -    xbar
 7142           70  18651994      0   0.00%   0.00%  0.00%   -    npacl
 7145           50  2047591116      0   0.00%   0.00%  0.00%   -    adjmgr
 7146           50  293209919      0   0.00%   0.00%  0.00%   -    u6rib
 7159      2567430  56054021      0   0.00%   0.00%  0.00%   -    device_test
 7162     13542680  100294650      0   0.00%   0.00%  0.00%   -    module
 7171           80  313007557      0   0.00%   0.00%  0.00%   -    arp
 7172           50  12929375      0   0.00%   0.00%  0.00%   -    icmpv6
 7182          200       451      0   0.00%   0.00%  0.00%   -    ExceptionLog
 7183       652830  20318399      0   0.00%   0.00%  0.00%   -    bootvar
 7184   4153175386   8124990    511   0.00%   0.00%  0.00%   -    cardclient
 7185      4527010  37781629      0   0.00%   0.00%  0.00%   -    ifmgr
 7204       328350   8188021      0   0.00%   0.00%  0.00%   -    ncpinframgr
 7206           80  3677773165      0   0.71%   0.63%  0.57%   -    pktmgr
 7216          100  1729272491      0   0.84%   0.59%  0.50%   -    netstack
 7228       323420   8180067      0   0.00%   0.00%  0.00%   -    clp_elam
 7229     25099200  319846943      0   0.00%   0.00%  0.00%   -    clp_fwd
 7230     39270680  684673164      0   0.00%   0.00%  0.00%   -    clp_l3
 7231    425842740  428361389      0   0.05%   0.06%  0.06%   -    clp_mac
 7232    258590320  35982345      7   0.01%   0.03%  0.03%   -    clp_xbar
 7233     57899510  52785523      1   0.00%   0.00%  0.00%   -    lit
 7234     55792770  78168029      0   0.00%   0.00%  0.00%   -    sac_usd
 7236   4152825366  31292952    132   0.00%   0.00%  0.00%   -    sensor
 7237     13844640  43872450      0   0.00%   0.00%  0.00%   -    xbar_driver_usd
 7264      2093110  40345409      0   0.00%   0.00%  0.00%   -    radius
 7265      4661380  24074956      0   0.00%   0.00%  0.00%   -    cdp
 7266       496370   9511639      0   0.00%   0.00%  0.00%   -    cfs
 7267           20       241      0   0.00%   0.00%  0.00%   -    ip_dummy
 7268           20       242      0   0.00%   0.00%  0.00%   -    ipv6_dummy
 7269       424000   5164228      0   0.00%   0.00%  0.00%   -    ntp
 7270       346330   8192350      0   0.00%   0.00%  0.00%   -    otm
 7271    771222034  502013967      1   0.80%   1.00%  0.94%   -    snmpd
 7273           20       241      0   0.00%   0.00%  0.00%   -    tcpudp_dummy
 7316      3829130  48420210      0   0.00%   0.00%  0.00%   -    tacacs
 7317       289400   8075279      0   0.00%   0.00%  0.00%   -    fscm
 7325     52629600  207030563      0   0.00%   0.00%  0.00%   -    ntpd
 7330      1238490  41712797      0   0.00%   0.00%  0.00%   -    callhome
 7331        25610    187794      0   0.00%   0.00%  0.00%   -    dcos-xinetd
 7592           10         5      2   0.00%   0.00%  0.00%   -    tftp_aa
 7593           80  1563416460      0   0.05%   0.09%  0.08%   -    sla_sender
 7594       363940   8183410      0   0.00%   0.00%  0.00%   -    sim
 7595          200  45246298      0   0.00%   0.00%  0.00%   -    rpm
 7596      3779500  22348417      0   0.00%   0.00%  0.00%   -    pltfm_config
 7597       339180   8186763      0   0.00%   0.00%  0.00%   -    plsm
 7598      4311390  44188781      0   0.00%   0.00%  0.00%   -    plcmgr
 7599       341460   8186334      0   0.00%   0.00%  0.00%   -    pixmc
 7600    115173310  551180029      0   0.00%   0.02%  0.01%   -    pfstat
 7602   1246214794   8250303    151   0.00%   0.00%  0.00%   -    monitorc
 7603     21020330  115393231      0   0.00%   0.00%  0.00%   -    lldp
 7604       602820  10109235      0   0.00%   0.00%  0.00%   -    lim
 7605      2505430  43639067      0   0.00%   0.00%  0.00%   -    l2rib
 7606          100  36303434      0   0.00%   0.00%  0.00%   -    igmp
 7607       381970   8182343      0   0.00%   0.00%  0.00%   -    giscm
 7608           90   9288622      0   0.00%   0.00%  0.00%   -    evc
 7609       130030   2789794      0   0.00%   0.00%  0.00%   -    eltm
 7610           80  4032046406      0   0.00%   0.00%  0.00%   -    ecp
 7612        58800   2720024      0   0.00%   0.00%  0.00%   -    adbm
 7613       133470   2013290      0   0.00%   0.00%  0.00%   -    acllog
 7637      1040700   9581495      0   0.00%   0.00%  0.00%   -    monitor
