


PID    Runtime(ms)  Invoked   uSecs  1Sec    Process
-----  -----------  --------  -----  ------  -----------
    1        40143    862000     46   0.00%  init
    2           95      4366     21   0.00%  kthreadd
    3        10836   1211909      8   0.00%  ksoftirqd/0
    5            0         7      7   0.00%  kworker/0:0H
    7      1777343  625025162      2   0.00%  rcu_sched
    8            0         2      0   0.00%  rcu_bh
    9         4653    270272     17   0.00%  migration/0
   10         9475   1068793      8   0.00%  watchdog/0
   11         9472   1068783      8   0.00%  watchdog/1
   12         4702    286986     16   0.00%  migration/1
   13       247449  29768289      8   0.00%  ksoftirqd/1
   15            0         7      4   0.00%  kworker/1:0H
   16         9290   1068783      8   0.00%  watchdog/2
   17         3516    274198     12   0.00%  migration/2
   18        14059   1601716      8   0.00%  ksoftirqd/2
   20            0         7      5   0.00%  kworker/2:0H
   21         8836   1068783      8   0.00%  watchdog/3
   22         3225    269643     11   0.00%  migration/3
   23        14203   1963478      7   0.00%  ksoftirqd/3
   25            0         7      5   0.00%  kworker/3:0H
   26         9072   1068783      8   0.00%  watchdog/4
   27         3057    256071     11   0.00%  migration/4
   28        14357   1550995      9   0.00%  ksoftirqd/4
   30            0         7      5   0.00%  kworker/4:0H
   31         9410   1068783      8   0.00%  watchdog/5
   32         2840    251471     11   0.00%  migration/5
   33        12832   1115945     11   0.00%  ksoftirqd/5
   35            0         7      4   0.00%  kworker/5:0H
   36         7769   1068783      7   0.00%  watchdog/6
   37         9431    859116     10   0.00%  migration/6

        
...skipping 1 line

   40            0         8      6   0.00%  kworker/6:0H
   41         7946   1068783      7   0.00%  watchdog/7
   42         9654    918840     10   0.00%  migration/7
   43         1287    263728      4   0.00%  ksoftirqd/7
   45            0         7      5   0.00%  kworker/7:0H
   46         8029   1068783      7   0.00%  watchdog/8
   47         8933    891330     10   0.00%  migration/8
   48         1285    208618      6   0.00%  ksoftirqd/8
   50            0         7      6   0.00%  kworker/8:0H
   51         7932   1068784      7   0.00%  watchdog/9
   52         9089    940167      9   0.00%  migration/9
   53         1255    145099      8   0.00%  ksoftirqd/9
   55            0         8      6   0.00%  kworker/9:0H
   56         7900   1068784      7   0.00%  watchdog/10
   57         8922    917899      9   0.00%  migration/10
   58         1324    168051      7   0.00%  ksoftirqd/10
   60            0         7      7   0.00%  kworker/10:0H
   61         7773   1068783      7   0.00%  watchdog/11
   62         8674    905273      9   0.00%  migration/11
   63         1360    135613     10   0.00%  ksoftirqd/11
   65            0         7      7   0.00%  kworker/11:0H
   66            0         2      3   0.00%  khelper
   67            1       156      9   0.00%  kdevtmpfs
        
No previous regular expression
   68            0         2      3   0.00%  netns
   69            0         2      2   0.00%  perf
   70         3003     35631     84   0.00%  khungtaskd
   71            0         2      5   0.00%  writeback
   72    227292577  217536028   1044   0.51%  ksmd
   73            0         2      2   0.00%  crypto
   74            0         2      2   0.00%  kintegrityd
   75            0         2      2   0.00%  bioset
   76            0         2      2   0.00%  kblockd
   77            0         2      2   0.00%  ata_sff
   78            0         2      2   0.00%  edac-poller
   79            0         2      4   0.00%  rpciod
   80      1095155   4805508    227   0.00%  kworker/5:1
   90        16477   5574398      2   0.00%  kworker/9:1
  104            0         3      2   0.00%  kswapd0
  105            0         5      6   0.00%  fsnotify_mark
  106            0         2      3   0.00%  nfsiod
  122            0         2      3   0.00%  acpi_thermal_pm
  123            0         3      5   0.00%  scsi_eh_0
  124            0         2      3   0.00%  scsi_tmf_0
  125            0        19      9   0.00%  scsi_eh_1
  126            0         2      3   0.00%  scsi_tmf_1
  127            0         3      3   0.00%  scsi_eh_2
  128            0         2      3   0.00%  scsi_tmf_2
  129            0         3      3   0.00%  scsi_eh_3
  130            0         2      3   0.00%  scsi_tmf_3
  131            0         3      3   0.00%  scsi_eh_4
  132            0         2      3   0.00%  scsi_tmf_4
  133            0         3      3   0.00%  scsi_eh_5
  134            0         2      3   0.00%  scsi_tmf_5
  139        50015   9097426      5   0.00%  kworker/4:1
  140        20094   3509628      5   0.00%  kworker/0:1
  141            0         2      4   0.00%  ipv6_addrconf
  142            0         2      4   0.00%  deferwq
  145        22224   5066408      4   0.00%  kworker/1:1
  166         7190   1393348      5   0.00%  kworker/8:1
  167        14056   4305423      3   0.00%  kworker/10:1
  168        18953   5919927      3   0.00%  kworker/11:1
  279            0         2      5   0.00%  kloopd0
  286         8978   1783808      5   0.00%  kworker/6:1
  300        20335   4581149      4   0.00%  kworker/7:1
  597          145        37   3926   0.00%  sdwrapd
  599     61500370  22106106   2782   0.00%  pfmclnt
  602            6         7    873   0.00%  xinetd
  603            9         4   2313   0.00%  tftpd
  604          117       103   1140   0.00%  sdwrapd
  606        25165   1425028     17   0.00%  dme_proxy
  611      3696997  11205667    329   0.00%  platform
  615        25233   1425023     17   0.00%  dme_bootup_proxy
  616          576       170   3388   0.00%  event_manager
  617          698       221   3158   0.00%  policyelem
  639       234079   4874716     48   0.00%  syslogd
  644         1899   1326257      1   0.00%  kworker/0:1H
  646        30581   1091514     28   0.00%  vshd
  647         2863     71864     39   0.00%  template_manager
  648         4748    110939     42   0.00%  tamnw
  649           72        26   2777   0.00%  smm
  650        93311   4276172     21   0.00%  psshelper
  651        53604    922598     58   0.00%  pixm_vl
  652        30324    856284     35   0.00%  pixm_gl
  653          517       177   2925   0.00%  nginx
  654         2705     71856     37   0.00%  mmode
  655         4390     71474     61   0.00%  lmgrd
  656       161976    295746    547   0.00%  fs-daemon
  657       119917    825911    145   0.00%  feature-mgr
  658          230      1975    116   0.00%  confcheck
  659        13774    428333     32   0.00%  capability
  660        17516    717230     24   0.00%  bloggerd
  661        93880   4275977     21   0.00%  psshelper_gsvc
  668       203654   2896793     70   0.00%  tams_proc
  673       136212    292110    466   0.00%  clis
  674        38385    869100     44   0.00%  licmgr
  682        20074    134443    149   0.00%  cisco
  687           22      2307      9   0.00%  kworker/6:1H
  709            6       520     11   0.00%  kworker/4:1H
  710       330342   2334785    141   0.00%  tamd_proc
  713        38790   1425805     27   0.00%  xmlma
  714        28496    855637     33   0.00%  vmm
  715        29744    859252     34   0.00%  vdc_mgr
  716       103736    858504    120   0.00%  usbhsd
  717        61287   2138812     28   0.00%  ttyd
  718      1303625   2962470    440   0.00%  sysinfo
  719        20612    592681     34   0.00%  snmpmib_proc
  720          409       498    821   0.00%  sksd
  722         2484     84208     29   0.00%  res_mgr
  723        94867   4279607     22   0.00%  plugin
  724        24724    866034     28   0.00%  plog_sup
  725        65935   4277312     15   0.00%  patch-installer
  726           87        27   3231   0.00%  nxapi
  727         9781    285753     34   0.00%  mvsh
  728          242       117   2073   0.00%  mts_mgr
  729           97       100    973   0.00%  mping_server
  730       262542   1416454    185   0.00%  module
  731          244       144   1696   0.00%  kim
  732          217        80   2717   0.00%  issu_helper
  733         9499    285788     33   0.00%  evms
  735          146        81   1806   0.00%  epld_upgrade_stdby
